ID_2007,SN_2007,weekly_avg_hrs_cat_3901_07,weekly_avg_hrs_cat_3902_07,weekly_avg_hrs_cat_3903_07,weekly_avg_hrs_cat_3904_07,weekly_avg_hrs_cat_3905_07,weekly_avg_hrs_cat_3906_07,weekly_avg_hrs_cat_3907_07,weekly_avg_hrs_cat_3908_07,weekly_avg_hrs_cat_3909_07,weekly_avg_hrs_cat_3910_07,weekly_avg_hrs_cat_3911_07,weekly_avg_hrs_cat_3912_07,weekly_avg_hrs_cat_3913_07,weekly_avg_hrs_cat_3914_07,weekly_avg_hrs_cat_3915_07,weekly_avg_hrs_cat_3916_07,weekly_avg_hrs_cat_3917_07,weekly_avg_hrs_cat_3918_07,weekly_avg_hrs_cat_3919_07,weekly_avg_hrs_cat_3920_07,weekly_avg_hrs_cat_3921_07,weekly_avg_hrs_cat_3922_07,weekly_avg_hrs_cat_3923_07,weekly_avg_hrs_cat_3924_07,weekly_avg_hrs_cat_3925_07,weekly_avg_hrs_cat_3926_07,weekly_avg_hrs_cat_3927_07,weekly_avg_hrs_cat_3928_07,weekly_avg_hrs_cat_3929_07,weekly_avg_hrs_cat_3930_07,weekly_avg_hrs_cat_3931_07,weekly_avg_hrs_cat_3932_07,weekly_avg_hrs_cat_3933_07,weekly_avg_hrs_cat_3934_07,weekly_avg_hrs_cat_3935_07,weekly_avg_hrs_cat_3936_07,weekly_avg_hrs_cat_3937_07,weekly_avg_hrs_cat_3938_07,weekly_avg_hrs_cat_3939_07,parent_interactive_skill_hrs_wk_07
181,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,65.08333333333333,0.0,0.0,1.1666666666666667,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7333333333333334,0.0,0.0,27.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.766666666666667,12.833333333333334,4.0,0.0,1.5
514,3,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.91666666666667,0.0,0.0,4.0,56.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,45.0
514,4,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,73.23333333333333,0.0,0.0,15.233333333333333,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,36.0,0.0,4.583333333333333
6574,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.9166666666666665,72.16666666666667,0.0,1.25,0.0,23.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.833333333333332,27.5,4.0,0.0
3656,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,74.16666666666667,0.0,0.0,3.0,44.666666666666664,0.0,6.833333333333333,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.3333333333333333,19.166666666666668,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,0.0,0.0
3677,3,0.0,9.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.6,68.91666666666667,0.0,1.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.75,0.0,0.0,0.0,1.0,55.4,0.0,7.5
7981,3,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,7.566666666666666,25.166666666666668,50.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.683333333333334,0.0,0.0
7981,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.25,0.0,1.6666666666666667,13.0,41.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8666666666666667,19.283333333333335,0.0,0.6
7031,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.58333333333333,0.0,1.0,0.0,38.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,48.583333333333336,0.0,0.0
5098,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,71.25,0.0,0.0,10.666666666666666,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.583333333333334,0.8333333333333334,12.333333333333334,15.916666666666666,0.0,1.5
546,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25,0.0,0.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,0.0,0.0
7518,3,0.0,7.5,0.0,0.0,0.0,0.0,0.8333333333333334,2.0833333333333335,88.76666666666667,9.833333333333334,1.8333333333333333,3.066666666666667,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.833333333333334,0.0,0.0
3468,3,0.0,1.4166666666666667,0.0,0.0,0.0,0.0,1.25,2.9166666666666665,83.16666666666667,0.0,0.0,0.0,40.5,0.0,2.5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,4.5,0.0,0.0,0.0,12.583333333333334,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,9.166666666666666,6.5,0.8333333333333334,7.75
1347,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,66.75,0.0,0.0,4.666666666666667,53.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.383333333333334,23.416666666666668,0.0,2.5
1347,4,0.0,0.6,0.0,0.0,0.0,0.0,3.0,2.75,73.98333333333333,0.0,1.25,2.3333333333333335,51.25,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.5,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.25,12.083333333333334,0.0,0.0
4197,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,75.75,0.0,0.0,3.75,41.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,6.566666666666666,0.0,0.0,0.0,0.0,0.0,13.1,19.333333333333332,0.0,0.0
5293,3,0.0,2.5,0.0,5.0,0.0,0.0,2.0,2.5,78.5,0.0,0.0,0.0,49.583333333333336,0.0,6.25,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,2.5,3.0
5293,4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,85.78333333333333,0.0,0.0,0.0,46.083333333333336,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.383333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,18.583333333333332,0.0,0.0
117,4,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,6.933333333333334,0.9333333333333333,77.56666666666666,0.0,0.0,0.0,38.916666666666664,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,39.733333333333334,0.0,0.0
2888,3,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,4.5,0.0,48.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,10.166666666666666,0.0,2.0
3466,3,51.166666666666664,6.5,0.0,1.0,0.0,0.0,0.0,0.0,55.333333333333336,0.0,0.0,1.0,45.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.25,0.8333333333333334,0.0
