DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,1585,2,1,0,5,13.846,15.25,1,0,1,1,1,1,3040,96,2,0
2,2061,4,1,4,5,17.867001,19.542999,1,1,1,1,1,1,3048,1,1,2
2,485,3,1,4,5,21.422001,23.761999,1,1,1,1,1,1,3032,1,1,2
2,6950,4,1,4,5,14.131,15.634,1,1,1,1,1,1,3032,4,1,2
2,2581,3,1,4,5,16.089001,17.993,1,1,1,1,1,1,3040,0,1,2
2,1096,3,1,4,5,18.549,19.805,1,1,1,1,1,1,3038,0,1,2
2,6089,3,1,0,1,35.111,0,1,0,5,5,5,5,3049,1,1,2
2,6089,4,1,0,1,34.924,0,1,0,5,5,1,5,3049,1,1,2
2,8151,3,1,4,1,27.981001,0,1,5,5,5,5,5,3049,2,1,2
2,8151,5,1,4,1,27.086,0,1,5,5,5,5,5,3049,2,1,2
2,4961,3,1,4,5,0,14.93,5,1,1,1,1,1,3003,2,1,2
2,515,3,1,0,1,4.0739999,4.7750001,1,0,1,1,1,1,3010,1,2,2
2,515,2,1,0,1,3.9820001,4.4959998,1,0,1,1,1,1,3010,1,2,2
2,1593,2,1,0,5,4.2410002,4.9759998,1,0,1,1,1,1,3010,3,3,2
2,132,2,1,0,5,4.1550002,4.777,1,0,1,1,1,1,3010,3,2,2
2,3971,3,1,4,5,25.283001,28.070999,1,1,1,1,1,1,3015,9,1,2
2,2795,3,7,8,5,21.815001,22.702,1,1,1,1,1,1,3044,96,4,1
2,2826,2,1,0,5,42.015999,47.606998,1,0,1,1,1,0,3016,1,2,2
2,1938,4,1,4,1,8.5500002,8.7060003,1,1,1,1,1,1,3001,2,1,2
2,1938,5,1,4,1,8.5500002,8.7060003,1,1,1,1,1,1,3001,2,1,2
2,1883,4,1,4,5,8.0360003,8.7489996,1,1,1,1,1,1,3032,1,1,2
2,1709,2,1,0,5,16.483999,18.374001,1,0,1,1,1,1,3032,1,2,2
2,4036,3,1,4,5,41.261002,0,1,1,5,5,5,5,3031,1,1,2
2,3454,3,1,4,5,21.99,23.291,1,1,1,1,1,1,3018,0,1,2
2,3595,3,1,5,5,10.048,11.5,1,1,1,1,1,1,3050,1,2,2
2,5148,3,1,4,5,21.917999,22.815001,1,1,1,1,1,0,3013,1,1,2
2,3646,3,7,0,5,31.736,0,1,0,5,5,5,5,3031,96,4,1
2,7479,3,1,4,5,29.445,31.691,1,1,1,1,1,1,3029,1,1,2
2,6918,3,1,4,1,18.681999,20.341,1,1,1,1,1,1,3007,1,1,0
2,6918,4,1,4,1,18.49,20.375,1,1,1,1,1,1,3007,1,1,0
2,6891,3,1,4,5,42.321999,46.569,1,5,1,1,5,1,3033,1,1,2
2,2998,3,3,0,5,35.903,37.807999,1,0,1,1,1,1,3033,96,4,0
2,6519,2,1,0,5,30.118,33.104,1,0,1,1,1,1,3023,1,2,0
2,486,4,1,5,1,10.4,11.52,1,1,1,1,1,1,3040,2,2,2
2,486,3,1,5,1,11.34,12.692,1,1,1,1,1,1,3040,2,2,2
2,788,3,1,4,5,26.9,0,1,5,5,5,1,5,3017,0,1,2
2,315,3,1,4,5,12.903,13.646,1,1,1,1,1,1,3020,1,1,2
2,5635,4,1,4,5,5.9190001,6.1160002,1,1,1,1,1,1,3020,2,1,2
2,4274,4,1,4,5,38.450001,42.248001,1,1,1,1,1,1,3010,1,1,2
2,5133,3,1,4,5,20.283001,21.113001,1,1,1,1,1,1,3044,1,1,2
2,4414,4,4,1,5,20.1,22.086,1,1,1,1,1,1,3016,1,1,2
2,1738,3,7,8,5,43.772999,50.797001,1,1,1,1,1,0,3016,96,4,1
2,6165,3,1,4,1,20.483999,22.082001,1,1,1,1,1,1,3002,1,1,2
2,6165,4,1,4,1,20.139999,21.531,1,1,1,1,1,0,3002,1,1,2
2,5076,3,1,4,5,16.112,0,1,1,5,5,5,5,3049,2,1,2
2,204,2,4,14,5,23.223,27.563999,1,1,1,1,1,1,3037,96,3,2
2,2370,3,1,4,1,18.271,19.775,1,1,1,1,1,1,3024,4,1,2
2,2370,4,1,4,1,18.103001,19.239,1,1,1,1,1,1,3024,4,1,2
2,7453,3,1,4,5,23.608,0,1,1,5,5,1,5,3003,1,1,2
2,3461,3,1,4,5,20.353001,22.766001,1,5,1,1,1,1,3003,3,1,2
2,7071,3,1,4,1,3.5669999,3.7160001,1,1,1,1,1,1,3018,1,1,2
2,7071,4,1,4,1,3.5179999,3.6440001,1,1,1,1,1,1,3018,1,1,2
2,3463,3,1,4,1,12.364,13.828,1,5,1,1,1,1,3048,1,1,2
2,2504,3,1,5,1,20.966,22.388,1,5,1,1,1,0,3048,1,2,2
2,3463,4,1,4,1,12.222,13.527,1,5,1,1,1,1,3048,1,1,2
2,2504,4,1,4,1,20.518,21.617001,1,5,1,1,1,1,3048,1,1,2
2,3476,3,1,5,5,5.8959999,0,1,1,5,5,5,5,3048,2,2,2
2,3348,3,1,4,1,18.67,22.143,1,1,1,1,1,1,3048,1,1,0
