OHHREL07,OHHID07,OHHSN07,Q36B1,Q36B2,Q36B3,Q36B4,Q36B5,Q36B6A,Q36B6B,Q36B6C,Q36B6D,Q36B6E,Q36B6F,Q36B7,Q36B8,Q36B9,Q36B10A,Q36B10B,Q36B10C,Q36B10D,Q36B10E,Q36B10F,Q36B10G,Q36B10H,Q36B10I,Q36B10J,Q36B11A,Q36B11B,Q36B11C,Q36B11D,Q36B12A,Q36B12B,Q36B12C,Q36B12D,Q36B14A,Q36B14B,Q36B14C,Q36B14D,Q36B15A,Q36B15B,Q36B15C,Q36B16A,Q36B16B,Q36B16C,Q36B16D,Q36B16E,Q36B16F,Q36B16G,Q36B16H,Q36B16I,Q36B16J,Q36B16K,Q36B16L,Q36B16M,Q36B16N,Q36B16O,Q36B16P,Q36B16Q,Q36B16R,Q36B16S,Q36B17A,Q36B17B,Q36B17C,Q36B17D,Q36B17E,Q36B18A,Q36B18B,Q36B18C,Q36B19A,Q36B19B,Q36B19C,Q36B19D,Q36B19E,Q36B20,Q36B21,Q36B22,Q36B23,Q36B24,Q36B25,Q36B26,Q36B27,Q36B28,Q36B28OS,Q36B29
1,2524,6,7,12,5,3,3,4,4,4,3,4,5,3,0,2,2,4,2,4,2,4,3,2,2,1,3,3,3,3,4,3,1,5,4,1,1,1,1,1,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,4,3,2,2,1,2,1,1,5,0,0,1,1,46,6,1,0,0,20
1,4462,3,6,5,6,3,3,4,4,3,2,3,3,1,2,1,3,4,2,3,2,3,3,3,3,2,2,3,2,2,1,3,4,5,3,2,4,4,1,5,5,3,3,3,2,3,3,2,4,3,3,2,4,4,4,4,3,3,2,3,3,3,2,2,1,3,3,3,2,2,3,2,1,5,0,0,1,1,45,7,1,0,0,15
1,2605,4,3,6,1,2,3,4,5,2,2,4,5,3,0,3,4,4,1,3,1,4,4,1,1,1,2,2,2,2,3,1,4,5,3,2,4,3,1,1,5,3,2,2,3,3,3,2,3,2,3,3,4,4,4,3,3,3,2,3,2,2,1,1,1,4,3,3,2,3,2,3,3,5,0,0,1,1,35,5,2,3,0,15
1,6627,3,7,15,5,3,3,4,5,5,5,5,5,3,0,4,4,4,1,4,1,4,4,2,2,2,2,2,2,2,3,4,5,1,1,2,1,1,1,5,5,3,2,2,2,4,3,2,3,2,3,2,4,3,3,3,2,3,2,3,2,2,1,1,1,3,4,4,2,2,2,3,2,5,0,0,1,1,50,5,2,7,1,20
1,7348,5,7,3,5,3,3,4,5,3,4,5,5,2,2,3,4,4,1,4,1,4,4,2,2,1,1,1,1,1,3,4,1,5,1,2,5,3,1,1,1,4,2,2,2,1,4,3,3,3,2,3,3,4,4,4,2,4,2,2,4,4,4,4,3,4,1,1,3,3,2,2,2,5,0,0,5,0,0,0,0,0,0,0
1,3850,4,1,10,5,3,3,3,2,4,1,4,5,3,0,3,4,4,1,3,1,3,3,4,2,2,3,3,3,3,3,1,5,4,2,1,3,4,1,1,1,3,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,3,4,2,2,3,3,2,2,2,3,2,2,5,0,0,1,1,40,4,2,1,0,15
1,5614,4,4,3,4,3,3,4,3,3,2,4,3,2,1,3,3,4,2,3,2,4,3,2,3,2,2,3,3,3,1,3,5,2,4,2,2,2,5,1,5,4,2,3,2,3,4,2,4,2,3,3,4,4,4,3,2,3,2,3,2,1,4,2,1,4,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,938,3,5,10,1,3,3,3,5,3,4,5,5,3,0,3,3,4,1,2,1,3,3,2,3,3,2,1,3,2,4,3,1,2,5,3,2,2,1,1,5,3,1,2,1,2,4,3,3,3,1,3,3,3,3,3,4,4,3,2,3,4,4,3,1,3,3,3,1,1,2,2,1,5,0,0,5,0,0,0,0,0,0,0
1,5969,3,4,1,2,3,3,5,5,5,3,5,5,2,2,3,4,4,2,4,2,3,2,2,2,2,2,2,2,2,3,4,5,2,4,2,3,2,1,1,1,4,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,3,2,3,2,1,3,3,3,1,1,2,3,2,5,0,0,1,1,48,5,2,7,1,10
1,127,3,2,4,3,3,3,3,5,3,2,5,5,2,3,4,4,4,1,4,1,3,3,4,2,2,2,2,2,2,4,5,3,2,5,1,1,1,1,1,5,3,2,2,2,2,3,2,3,2,2,2,3,3,4,3,2,3,2,3,3,4,3,3,1,3,3,3,2,2,3,3,2,5,0,0,1,1,45,4,1,0,0,10
1,127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4547,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4547,4,3,20,6,3,3,3,3,2,1,3,3,2,1,2,3,4,2,4,1,4,4,2,3,1,2,3,2,2,3,5,1,4,1,5,1,3,1,1,1,3,2,3,2,3,2,3,4,3,3,2,4,4,4,4,2,4,2,4,2,1,1,1,1,4,4,3,2,3,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,2062,4,2,5,3,3,3,4,5,5,5,4,5,2,3,4,1,4,1,4,1,4,4,2,2,2,2,2,2,2,3,5,4,1,8,8,8,8,5,5,5,1,4,4,2,2,3,2,3,4,3,2,4,3,3,3,3,3,2,3,3,3,1,1,1,1,2,2,1,1,3,3,2,5,0,0,1,1,40,5,1,0,0,15
1,5563,3,7,7,6,3,3,4,5,4,4,4,5,3,0,4,4,4,1,4,1,3,3,1,1,1,1,1,1,1,4,5,1,3,4,1,1,3,1,1,1,4,1,1,1,4,4,1,4,1,2,3,4,4,4,4,2,4,1,4,1,1,1,4,1,3,2,2,1,1,4,3,1,5,0,0,1,1,60,6,1,0,0,15
1,5403,4,5,5,5,3,3,4,5,4,3,5,5,3,0,4,4,4,1,4,1,4,3,1,1,1,2,3,1,1,3,5,4,1,4,1,1,3,1,1,1,4,2,2,2,4,4,2,4,2,3,1,4,4,4,4,2,4,2,4,3,2,1,1,1,4,4,3,2,1,3,1,1,5,0,0,1,1,60,5,2,2,0,30
1,4086,2,5,8,6,3,3,5,5,4,4,5,5,1,2,4,4,3,2,3,2,3,3,1,1,1,3,1,1,1,3,4,1,5,3,1,2,3,5,1,1,3,2,2,1,3,4,2,3,2,3,2,3,4,3,3,1,3,2,3,2,1,1,1,1,3,3,3,1,1,2,2,1,5,0,0,5,0,0,0,0,0,0,0
1,4696,4,7,1,6,3,3,3,5,4,1,5,5,3,0,4,4,4,1,4,1,4,3,4,1,1,1,1,1,1,1,3,4,5,5,1,1,5,1,1,5,4,2,1,2,3,4,3,4,2,4,1,3,4,4,4,3,4,1,3,1,1,1,1,1,3,2,3,1,1,3,3,1,1,1,18,1,1,50,6,1,0,0,45
1,6194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6194,4,7,52,2,3,3,3,5,4,1,5,5,3,0,4,4,4,1,4,1,4,3,1,1,1,1,1,1,1,3,4,5,1,1,1,1,1,1,1,5,4,3,4,1,3,4,2,4,2,2,3,4,4,4,4,2,3,2,4,2,2,2,2,1,1,1,1,1,1,2,2,1,5,0,0,1,1,65,6,1,0,0,50
1,6975,6,7,0,2,3,3,5,5,5,2,5,5,3,0,4,3,3,2,3,2,3,3,3,1,1,2,2,2,2,1,3,5,4,1,1,1,1,1,5,5,4,2,2,2,2,4,2,4,2,3,2,3,3,3,3,2,3,2,3,1,1,1,1,1,2,2,3,2,2,3,2,2,5,0,0,1,1,40,5,1,0,0,40
1,4608,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4608,4,5,2,1,3,3,5,4,3,4,5,4,3,0,4,4,4,1,4,1,4,4,4,1,1,2,2,3,1,3,4,5,1,5,1,2,1,5,1,5,4,1,1,2,1,3,1,4,2,3,2,4,4,4,4,2,3,1,4,2,2,4,3,1,4,4,2,1,1,3,2,1,5,0,0,1,1,40,3,2,3,0,25
1,7494,4,5,6,1,3,3,4,5,4,1,4,5,2,1,2,4,4,1,4,1,4,3,1,1,1,1,3,2,2,4,3,1,5,1,1,3,5,5,1,5,4,1,2,1,3,4,2,3,2,3,2,4,1,4,2,4,4,2,4,2,2,2,2,2,4,2,3,2,2,2,3,2,5,0,0,1,1,40,5,1,0,0,7
1,5262,3,7,20,5,3,3,3,4,4,3,4,5,3,0,3,4,4,1,2,2,4,2,2,3,2,2,2,2,2,3,4,1,5,1,2,1,2,5,1,5,4,2,2,2,3,3,2,4,2,3,2,4,3,4,4,1,3,2,3,4,3,4,3,1,4,4,4,2,2,2,2,2,5,0,0,5,0,0,0,0,0,0,0
1,1087,3,0,3,3,3,3,2,5,5,5,5,5,3,0,4,1,1,2,4,2,2,2,2,2,2,2,2,2,2,4,1,5,3,1,5,4,1,5,5,5,3,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,1,1,4,3,3,2,2,3,2,2,5,0,0,1,1,35,5,1,0,0,30
1,7697,3,0,2,5,3,3,4,5,3,1,5,5,3,0,2,3,4,2,4,1,4,4,2,2,2,2,2,1,1,5,1,4,3,3,1,3,2,1,1,5,4,2,2,2,3,3,1,4,4,2,2,4,4,4,4,2,4,2,4,1,2,1,1,1,4,4,4,1,1,3,2,2,5,0,0,1,2,80,6,1,0,0,30
1,4960,3,0,1,5,3,3,4,5,3,3,4,5,2,1,4,4,4,1,4,1,4,4,1,2,1,3,2,1,1,4,3,1,5,2,1,1,2,1,1,5,4,1,2,2,4,4,1,4,2,4,4,4,4,4,4,2,4,2,4,2,1,1,1,1,4,4,3,1,1,3,1,1,5,0,0,1,1,60,5,2,2,0,30
1,2067,3,1,0,3,2,2,4,5,5,5,5,5,3,0,4,4,4,1,4,1,4,4,1,2,1,2,2,2,2,3,5,1,4,2,1,1,1,5,1,5,4,2,2,2,3,3,2,3,2,3,2,3,3,4,4,2,3,1,3,2,2,1,1,1,4,4,3,4,1,3,2,2,1,3,1,1,2,56,3,1,0,0,40
1,72,5,0,0,4,3,3,3,4,4,1,4,4,3,0,3,3,3,2,2,2,2,2,4,2,2,2,2,2,2,4,5,3,1,5,5,5,4,1,1,5,4,3,3,3,2,2,3,4,2,3,3,3,3,3,3,4,4,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,0,0,5,0,0,0,0,0,0,0
1,5775,3,0,4,6,3,3,4,5,5,5,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,1,5,4,4,1,1,1,1,1,1,4,4,3,2,3,3,1,4,2,2,2,4,4,4,3,2,3,1,3,1,1,1,1,1,3,3,2,1,1,3,1,1,5,0,0,5,0,0,0,0,0,0,0
1,2348,3,0,1,5,3,3,3,1,5,5,5,5,3,0,4,4,4,1,3,1,3,4,2,1,1,2,1,2,1,4,3,5,1,1,1,1,1,1,1,1,4,2,2,1,3,4,3,4,3,2,2,3,3,3,3,2,3,2,4,2,2,1,1,1,2,3,3,1,1,4,2,1,5,0,0,1,1,50,6,2,5,0,1
1,6734,3,5,150,2,3,3,5,5,4,4,5,5,3,0,4,4,4,1,4,1,4,4,3,1,1,1,3,1,1,3,4,5,2,4,1,3,2,5,1,1,4,1,1,1,4,4,1,3,1,3,2,3,4,3,4,2,4,2,3,4,2,1,1,1,3,3,2,2,3,2,2,2,5,0,0,1,2,65,6,1,0,0,7
1,7224,3,0,1,4,3,3,4,4,5,2,4,5,3,0,3,4,4,2,4,4,4,4,2,3,4,4,4,2,2,3,5,1,2,1,1,1,2,5,1,5,3,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,4,4,2,3,4,2,3,3,2,2,3,2,3,5,0,0,1,1,60,7,2,7,1,1
1,4958,3,2,0,5,3,3,4,4,4,3,5,5,2,2,3,3,4,2,3,2,4,2,2,2,2,2,3,3,2,1,3,5,4,5,1,5,3,1,1,1,3,1,2,2,3,3,2,4,2,3,4,4,4,4,3,2,4,2,3,3,4,3,2,1,3,3,2,2,1,3,2,1,5,0,0,1,3,55,6,1,0,0,45
1,7816,4,5,3,5,3,3,5,5,4,4,5,5,2,3,4,4,4,1,4,1,4,2,1,1,1,2,2,2,3,4,3,5,1,4,1,4,2,5,1,5,4,4,2,2,4,4,2,3,2,3,3,3,4,3,3,3,2,2,2,3,3,2,1,1,4,4,3,2,3,1,3,3,5,0,0,1,2,70,4,2,3,0,30
1,6168,3,5,6,5,3,3,5,5,5,5,5,5,0,0,0,4,4,1,4,1,4,4,1,1,1,1,1,1,1,5,3,4,1,1,1,1,1,1,1,5,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,1,1,1,4,4,4,1,1,3,2,1,5,0,0,1,1,45,5,1,0,0,1
1,6168,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4296,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4296,4,2,1,6,3,3,4,5,4,4,5,5,2,1,4,4,4,1,4,1,4,3,1,1,1,1,1,1,1,4,3,5,1,1,1,1,1,1,1,5,4,8,2,2,2,3,2,4,3,2,3,4,4,4,4,3,3,1,4,2,1,1,1,1,4,4,3,1,1,3,1,1,1,48,8,1,1,65,5,1,0,0,6
1,4813,3,1,13,2,2,3,4,5,5,1,5,5,3,0,4,4,4,2,4,2,4,4,4,2,2,2,3,3,2,3,4,1,5,5,1,1,1,1,1,1,4,2,1,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,3,3,4,1,1,1,3,3,4,2,3,3,3,3,5,0,0,1,1,39,7,1,0,0,50
1,4429,3,0,20,4,2,2,3,5,3,3,5,5,1,2,4,4,4,1,4,1,3,3,2,2,1,1,1,1,1,4,5,3,2,4,2,1,2,1,1,1,4,1,2,1,4,4,2,4,2,2,3,8,4,3,3,2,4,2,4,3,2,2,2,1,3,3,3,2,2,3,2,2,5,0,0,1,1,45,6,2,1,0,20
1,7549,3,2,18,5,3,3,5,5,5,5,5,5,0,0,0,3,4,2,3,2,3,4,2,1,1,1,1,1,1,3,5,4,1,1,1,1,1,1,1,5,4,3,3,1,3,3,2,4,3,2,2,4,4,4,4,2,4,1,4,2,1,1,1,1,3,3,3,1,1,4,1,1,5,0,0,1,1,50,6,2,7,1,15
1,5205,3,7,12,6,3,3,5,5,5,5,5,5,0,0,0,4,4,1,4,1,4,4,1,1,1,1,2,1,2,3,5,4,1,1,1,1,1,5,5,5,1,3,4,2,3,4,4,1,4,1,1,4,3,4,4,2,2,2,4,1,1,1,1,1,2,3,1,1,1,3,3,4,5,0,0,1,2,70,5,1,0,0,10
1,1676,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1676,4,4,1,5,3,3,4,5,4,4,5,5,3,0,3,4,4,1,4,1,4,4,1,1,1,2,1,1,1,3,4,1,5,3,1,1,2,1,1,1,3,2,2,1,4,4,1,4,1,3,2,4,4,4,4,2,4,2,3,3,3,2,1,1,3,4,3,2,1,3,2,2,5,0,0,1,2,50,5,1,0,0,15
1,5327,4,3,4,5,3,3,5,5,5,5,5,5,0,0,0,3,4,2,3,2,3,3,2,2,2,2,2,1,2,4,3,1,5,5,1,1,5,1,1,1,4,2,2,2,3,3,2,3,3,8,2,3,3,3,3,3,3,2,3,2,1,1,1,1,4,4,4,2,2,3,2,2,5,0,0,1,1,37,5,1,0,0,11
1,1268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1268,4,6,4,5,3,3,5,5,5,5,5,5,0,0,0,4,4,2,4,2,4,4,2,2,2,2,2,2,2,3,4,5,1,1,1,1,1,5,1,5,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,2,3,2,3,1,4,4,1,1,3,3,3,2,2,3,3,3,5,0,0,1,1,40,5,1,0,0,5
1,1039,3,2,4,4,3,3,4,5,3,1,4,5,2,3,4,4,4,1,3,1,4,4,1,1,1,2,1,2,1,3,1,5,4,4,1,1,1,1,5,1,1,3,2,2,3,3,2,4,2,3,3,3,4,4,4,2,4,2,2,3,1,1,1,1,2,2,3,2,2,2,3,1,5,0,0,5,0,0,0,0,0,0,0
1,892,3,0,6,4,3,3,4,5,3,1,5,5,3,0,4,3,3,2,3,2,3,3,2,2,2,2,3,3,2,3,5,1,4,1,1,1,1,5,1,1,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,3,3,2,5,0,0,5,0,0,0,0,0,0,0
1,566,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,566,5,4,3,6,3,1,5,5,4,1,3,5,3,0,2,3,4,1,4,1,4,4,1,1,1,3,3,3,1,1,5,4,2,5,3,5,4,1,1,1,4,1,4,1,2,1,1,4,4,1,4,3,4,4,4,3,4,2,4,3,3,3,1,1,2,3,3,2,2,3,3,3,5,0,0,1,1,50,5,1,0,0,40
1,5685,4,7,4,3,3,3,4,5,4,3,5,5,3,0,3,3,4,2,3,1,4,3,2,1,1,2,1,1,1,3,5,4,2,5,1,2,3,1,1,5,3,1,2,2,4,3,2,4,1,3,2,4,4,4,3,2,4,2,4,3,2,2,1,1,4,4,3,2,2,3,3,1,1,40,998,1,2,70,6,1,0,0,50
1,7074,3,7,6,2,2,2,5,5,5,5,5,5,0,0,0,4,4,1,4,1,4,4,1,1,1,1,1,1,1,4,1,3,5,1,1,1,1,1,1,1,4,1,1,1,4,2,1,4,1,3,2,3,4,3,4,3,3,2,3,3,3,1,1,1,3,3,3,2,2,3,2,2,5,0,0,1,2,60,6,1,0,0,20
1,856,4,7,5,4,3,3,5,5,5,5,5,5,0,0,0,1,3,1,3,1,3,3,2,2,2,2,2,2,2,1,3,4,5,1,2,5,1,5,5,5,4,2,3,2,3,3,2,3,2,3,2,3,3,3,3,2,3,2,3,2,3,2,1,1,3,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,3912,3,3,0,5,3,3,1,5,3,4,3,5,1,1,3,4,4,1,4,1,4,2,1,1,1,1,1,1,1,3,4,5,2,3,1,1,1,1,1,1,4,2,2,2,4,4,2,3,2,2,2,3,3,4,3,3,3,2,3,3,3,2,1,1,3,4,3,2,2,3,2,2,5,0,0,1,1,40,4,1,0,0,75
1,4405,2,7,2,3,3,3,3,5,5,1,5,5,3,0,4,3,3,2,3,2,3,3,2,2,2,2,2,2,2,3,5,1,4,1,1,1,1,5,5,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,1,1,1,1,2,3,2,2,2,3,2,1,5,0,0,5,0,0,0,0,0,0,0
1,5195,3,1,2,2,3,2,4,5,3,2,2,3,2,3,4,3,4,2,4,2,4,3,3,2,2,1,1,1,2,4,1,3,5,4,3,3,1,1,5,1,3,2,3,2,3,3,2,3,3,2,2,3,3,3,4,3,3,2,3,3,1,1,1,1,3,3,2,2,2,3,3,3,5,0,0,5,0,0,0,0,0,0,0
1,5195,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5566,3,2,15,5,2,3,4,4,3,3,4,1,2,2,3,3,3,2,4,2,3,3,2,2,2,2,2,2,3,5,3,2,4,5,2,4,3,1,1,1,4,3,3,3,3,3,2,3,2,3,2,3,4,4,4,3,3,2,3,3,4,1,3,1,2,4,3,2,2,3,3,2,5,0,0,1,1,50,7,1,0,0,20
1,5388,5,7,0,6,3,3,4,5,5,4,5,5,3,0,4,3,3,2,3,2,3,3,8,2,2,2,2,3,2,1,3,4,2,4,1,2,1,1,1,5,3,2,2,2,3,2,2,3,2,3,3,3,3,3,2,2,2,2,2,1,2,1,1,1,8,3,3,1,1,3,2,1,5,0,0,1,1,30,5,1,0,0,25
1,1052,3,0,3,4,3,3,5,5,5,5,5,5,0,0,0,3,4,2,3,3,3,4,4,2,2,2,2,2,2,4,5,3,1,5,1,5,5,1,1,5,4,2,2,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,1,1,4,4,4,1,1,3,2,1,5,0,0,1,1,40,5,1,0,0,15
1,6082,4,2,0,1,3,3,4,5,5,3,5,4,3,0,4,3,3,1,3,1,3,3,1,1,1,2,2,1,1,3,4,5,2,1,1,1,1,5,1,5,3,2,2,1,3,3,2,3,2,3,2,3,3,3,3,2,4,2,3,2,2,4,2,1,3,3,2,2,2,2,2,1,5,0,0,1,1,40,5,2,3,0,35
1,5147,2,7,10,4,3,3,3,4,3,3,3,3,3,0,3,3,3,1,4,2,4,3,3,3,3,3,3,3,3,5,4,1,3,5,1,5,5,1,1,1,4,4,4,3,3,4,2,4,1,4,4,4,4,3,3,3,3,3,3,1,1,1,4,4,3,3,3,4,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,2474,3,0,200,3,3,2,2,4,5,3,5,5,3,0,4,4,4,2,4,2,4,4,2,3,2,1,1,1,1,3,1,4,5,5,1,1,1,1,1,5,4,2,2,2,3,3,2,4,2,2,2,4,4,3,3,2,3,2,3,3,4,3,1,1,4,4,2,1,1,3,1,1,5,0,0,1,1,80,7,1,0,0,100
1,235,2,0,52,3,3,2,1,2,2,1,3,2,3,0,2,2,4,4,2,4,2,2,4,4,2,4,3,3,3,4,1,5,2,5,1,2,2,5,5,5,3,2,2,1,2,4,2,4,2,3,3,4,4,4,4,2,4,2,4,2,4,1,3,1,4,3,3,1,1,3,1,1,5,0,0,5,0,0,0,0,0,0,0
1,8104,4,3,1,5,3,3,4,4,2,4,5,1,2,1,3,3,3,1,3,1,3,4,3,3,1,3,1,2,3,1,2,3,4,5,1,5,5,1,1,5,3,3,3,2,3,2,3,3,3,3,2,3,4,3,3,2,3,2,3,2,4,1,4,1,3,3,3,2,3,3,2,2,5,0,0,1,2,55,5,2,2,0,15
1,3580,3,3,998,4,3,3,5,5,5,5,5,5,0,0,0,1,4,1,4,1,4,4,1,1,1,1,3,1,1,1,5,4,3,1,1,1,1,5,5,5,4,2,2,2,2,3,2,9,2,3,8,3,1,1,1,2,3,2,3,3,1,2,2,1,3,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,1327,3,5,10,6,3,3,4,5,4,1,5,5,2,1,4,4,4,1,3,2,4,4,2,1,1,2,2,2,2,3,4,1,5,4,1,1,2,5,1,5,3,3,2,2,3,3,2,4,3,2,3,4,4,4,3,1,4,2,4,2,2,1,1,1,4,3,4,1,1,3,1,1,5,0,0,1,1,43,5,1,0,0,8
1,320,6,0,0,2,3,3,2,4,2,5,2,5,1,1,3,2,2,2,2,2,3,3,3,3,3,3,2,2,2,1,3,5,2,1,1,3,1,5,5,5,3,3,3,2,3,8,3,3,3,2,2,3,3,3,3,3,3,2,3,3,1,4,3,1,4,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,502,2,1,10,3,3,2,4,3,1,1,5,5,3,0,3,4,3,2,4,2,4,4,4,2,2,1,2,1,1,4,5,3,2,5,1,5,4,1,5,5,3,2,2,2,2,4,2,4,2,3,2,3,4,4,4,2,3,2,4,1,4,4,1,1,4,4,4,1,3,3,3,3,5,0,0,5,0,0,0,0,0,0,0
1,1692,2,0,0,1,3,3,3,1,2,3,5,3,1,2,4,2,3,8,3,3,3,3,3,3,3,2,2,4,3,1,5,4,3,5,1,1,8,5,5,5,3,2,3,2,8,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,1,4,4,1,4,3,3,2,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
1,2170,3,7,20,4,3,3,4,3,2,1,3,3,1,1,3,3,4,2,3,2,3,2,3,3,2,2,1,2,2,3,2,4,5,5,1,5,4,1,1,5,4,2,2,2,3,4,2,3,2,2,3,3,3,3,4,2,2,2,3,3,3,3,3,1,3,3,2,2,2,3,2,2,5,0,0,1,1,44,6,1,0,0,10
1,7687,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7687,6,4,2,5,3,3,5,5,4,5,5,5,3,0,4,4,3,2,3,2,3,3,3,2,2,3,3,2,2,1,4,5,3,5,1,2,1,1,1,1,4,3,3,2,2,3,3,4,3,2,3,4,4,4,3,2,4,2,2,3,3,3,1,1,3,3,3,2,2,2,2,3,5,0,0,5,0,0,0,0,0,0,0
1,6114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6114,3,7,48,4,3,3,5,5,5,5,5,5,0,0,0,4,4,1,3,2,4,4,2,2,1,2,2,8,1,3,5,4,1,5,1,3,1,5,1,5,4,4,3,2,2,4,2,3,2,2,2,4,4,4,4,8,3,1,3,1,1,1,1,1,4,4,4,1,2,3,2,2,5,0,0,5,0,0,0,0,0,0,0
