CHILDID07,CHILDSN07,PCGID07,PCGSN07,CDSHID07,PCGINST07,PCG68ID07,PCGPN07
1395,4,1395,1,197,1,5995,170
1398,4,1398,2,198,1,1125,172
1400,3,1400,2,199,1,620,4
1402,2,1402,1,200,1,2443,170
1403,3,1403,2,201,1,2490,31
1405,3,1405,2,202,1,3404,2
1405,4,1405,2,202,1,3404,2
1411,2,1411,1,203,1,7,30
1411,4,1411,1,203,1,7,30
1419,5,1419,2,204,1,769,3
1425,2,1425,1,205,1,707,171
1425,3,1425,1,205,1,707,171
1437,2,1437,1,206,1,5065,34
1437,5,1437,1,206,1,5065,34
1441,3,1441,2,207,1,868,181
1451,2,1451,1,208,1,880,174
1465,3,1465,2,209,1,1695,10
1467,3,1467,2,210,1,783,171
1470,2,1470,1,211,1,3033,1
1472,3,1472,2,212,1,173,4
1472,4,1472,2,212,1,173,4
1473,3,1473,2,213,1,2714,179
1475,3,1475,2,214,1,1142,171
1475,4,1475,2,214,1,1142,171
1484,3,1484,2,215,1,634,6
1488,3,1488,2,216,1,961,4
1516,2,1516,1,217,1,6765,4
1516,3,1516,1,217,1,6765,4
1517,3,1517,2,218,1,2055,181
1528,3,1528,2,219,1,47,4
1530,2,1530,4,220,1,6030,182
1546,3,1546,2,221,1,51,30
1547,3,1547,2,222,1,3416,2
1555,3,1555,2,223,1,5120,178
1560,5,1560,2,224,1,2435,175
1561,2,1561,1,225,1,5375,170
1562,2,0,0,1247,1,105,912
1570,2,1570,1,226,1,1762,32
1570,3,1570,1,226,1,1762,32
1571,3,1571,1,227,1,5664,3
1585,2,1585,1,228,1,354,171
1591,2,1591,1,229,1,1782,30
1591,3,1591,1,229,1,1782,30
1593,2,132,1,12,1,419,30
1595,2,1595,1,230,1,2128,30
1595,3,1595,1,230,1,2128,30
1597,2,1597,1,231,1,6857,199
1601,2,1601,1,232,1,5990,4
1602,2,1602,1,233,1,1918,4
1617,2,1617,1,234,1,5066,180
1621,4,1621,2,235,1,129,35
1635,3,1635,2,236,1,893,170
1635,4,1635,2,236,1,893,170
1637,2,1637,1,237,1,5395,7
1644,3,1644,2,238,1,1038,173
1646,3,1646,2,239,1,2177,5
1646,4,1646,2,239,1,2177,5
1649,2,1649,1,240,1,2083,171
1654,3,1654,2,241,1,2593,170
1670,3,1670,2,242,1,2849,3
1671,2,1671,1,243,1,702,30
1676,3,1676,2,244,1,5987,188
1676,4,1676,2,244,1,5987,188
1685,3,1685,2,245,1,1905,172
1687,2,1687,1,246,1,3027,1
1692,2,1692,1,247,1,6166,50
1702,2,1702,1,248,1,2461,171
1709,2,1709,1,249,1,452,30
1712,3,1712,2,250,1,2054,3
1712,4,1712,2,250,1,2054,3
1714,3,1714,2,251,1,713,183
1735,5,1735,2,252,1,729,188
1735,6,1735,2,252,1,729,188
1738,3,1738,2,253,1,517,2
1747,2,1747,1,254,1,5501,32
1747,3,1747,1,254,1,5501,32
1748,2,1748,1,255,1,5885,174
1755,2,1755,1,256,1,2272,3
1759,3,1759,2,257,1,1522,8
1776,3,1776,2,258,1,582,174
1785,2,1785,1,259,1,5314,30
1785,3,1785,1,259,1,5314,30
1797,3,1797,2,260,1,3348,5
1804,2,1804,1,261,1,5863,31
1804,3,1804,1,261,1,5863,31
1819,3,1819,2,262,1,1152,176
1827,3,1827,2,263,1,1411,31
1829,3,1829,2,264,1,5442,31
1850,3,1850,1,265,1,327,31
1867,2,1867,1,266,1,1945,30
1868,3,1868,2,267,1,195,170
1868,4,1868,2,267,1,195,170
1871,3,1871,1,268,1,633,30
1871,4,1871,1,268,1,633,30
1876,4,1876,2,269,1,5292,32
1883,4,1883,2,270,1,452,177
1884,4,1884,2,271,1,1242,176
1886,2,1886,1,272,1,5871,172
1898,2,1898,1,273,1,1167,30
1898,3,1898,1,273,1,1167,30
1909,2,1909,1,274,1,5539,188
1915,3,1915,2,275,1,1434,32
1916,2,1916,1,276,1,2867,31
1938,4,1938,2,277,1,433,175
1938,5,1938,2,277,1,433,175
1942,3,1942,2,278,1,2847,31
1944,4,1944,2,279,1,769,173
1951,3,1951,2,280,1,1947,171
1951,4,1951,2,280,1,1947,171
1956,4,1956,2,281,1,750,174
1971,3,1971,2,282,1,709,34
1982,4,1982,2,283,1,2530,4
1983,2,1983,1,284,1,5537,3
1984,3,1984,2,285,1,6112,173
1984,4,1984,2,285,1,6112,173
1990,3,1990,2,286,1,2053,4
1992,3,1992,2,287,1,2869,30
1994,3,1994,1,288,1,5539,6
2032,3,2032,1,289,1,1383,174
2032,4,2032,1,289,1,1383,174
2037,3,2037,2,290,1,1867,3
2040,3,2040,1,291,1,5142,4
2044,3,2044,2,292,1,1784,5
2044,5,2044,2,292,1,1784,5
2053,3,2053,2,293,1,856,5
2053,4,2053,2,293,1,856,5
2054,4,2054,2,294,1,2353,171
2056,3,2056,1,295,1,5900,5
2061,4,2061,2,296,1,355,171
2062,4,2062,1,297,1,5683,8
2064,2,2064,1,298,1,172,34
2065,2,2065,1,299,1,5170,30
2067,3,2067,2,300,1,5897,5
2069,4,2069,2,301,1,2095,177
2078,3,2078,2,302,1,3109,2
2087,3,2087,2,303,1,5463,5
2093,4,2093,2,304,1,2196,30
2093,5,2093,2,304,1,2196,30
2102,2,2102,1,305,1,6166,14
2105,4,2105,2,306,1,2109,2
2109,3,2109,2,307,1,2464,171
2112,3,2112,2,308,1,6736,184
2114,6,2114,1,309,1,5547,9
2114,7,2114,1,309,1,5547,9
2116,2,2116,1,310,1,2238,172
2139,3,2139,2,311,1,961,3
2139,4,2139,2,311,1,961,3
2149,4,2149,2,312,1,2852,172
2157,4,2157,1,313,1,5560,30
2157,5,2157,1,313,1,5560,30
2162,2,2162,1,314,1,6635,32
2170,3,2170,2,315,1,6166,44
2172,3,2172,2,316,1,1107,175
2172,4,2172,2,316,1,1107,175
2180,3,2180,2,317,1,47,32
2190,3,2190,2,318,1,1654,3
2192,3,2192,2,319,1,2181,30
2198,3,2198,2,320,1,5613,8
2199,3,2199,2,321,1,40,182
2206,3,2206,2,322,1,750,170
2208,2,2208,1,323,1,7,177
2208,3,2208,1,323,1,7,177
2214,4,2214,2,324,1,122,173
2216,2,2216,1,325,1,5314,172
2216,3,2216,1,325,1,5314,172
2222,2,2222,1,326,1,1460,8
2223,2,2223,1,327,1,729,30
2223,3,2223,1,327,1,729,30
2226,2,2226,1,328,1,5614,31
2229,4,2229,2,329,1,1399,175
2247,3,2247,1,330,1,6626,6
2250,3,2250,2,331,1,1274,3
2255,2,2255,1,332,1,5069,31
2266,4,2266,1,333,1,5446,170
2271,3,2271,2,334,1,2435,7
2277,3,2277,2,335,1,946,172
2291,2,2291,1,336,1,5458,32
2305,3,2305,1,337,1,1962,176
2310,3,2310,2,338,1,2117,6
2310,4,2310,2,338,1,2117,6
2324,2,2324,1,339,1,1505,4
2334,2,2334,1,340,1,5052,33
2334,3,2334,1,340,1,5052,33
2346,3,2346,2,341,1,1568,32
2347,4,2347,2,342,1,1624,3
2348,3,2348,2,343,1,5916,8
2351,2,2351,1,344,1,1571,32
2353,3,2353,2,345,1,853,3
2356,3,2356,2,346,1,1807,30
2357,4,2357,2,347,1,1167,32
2360,2,2360,1,348,1,1571,176
2370,3,2370,2,349,1,548,183
2370,4,2370,2,349,1,548,183
2371,3,2371,1,350,1,2701,33
2371,4,2371,1,350,1,2701,33
2372,3,2372,2,351,1,3019,2
2386,3,2386,2,352,1,3233,2
2389,2,2389,1,353,1,5479,30
2406,3,2406,2,354,1,6793,33
2407,3,2407,2,355,1,620,6
2407,4,2407,2,355,1,620,6
2408,3,2408,2,356,1,915,172
2411,3,2411,1,357,1,5424,30
2417,2,2417,1,358,1,964,173
2419,2,2419,1,359,1,2848,33
2425,1,2406,2,354,1,6793,33
2425,2,2406,2,354,1,6793,33
2426,3,2426,2,360,1,999,170
2427,3,2427,2,361,1,1698,4
2431,3,2431,2,362,1,228,5
2439,4,2439,2,363,1,3221,2
2440,3,2440,2,364,1,2304,4
2440,4,2440,2,364,1,2304,4
2450,3,2450,2,365,1,3238,2
2458,3,2458,1,366,1,5922,38
2473,4,2473,2,367,1,5379,174
2474,3,2474,2,368,1,6127,178
2503,3,2503,2,369,1,2418,173
2504,3,2504,2,370,1,563,32
2504,4,2504,2,370,1,563,32
2514,3,2514,2,371,1,1798,191
2524,6,2524,2,372,1,5614,170
2532,4,2532,1,373,1,257,174
2533,2,2533,1,374,1,5922,7
2555,2,2555,1,375,1,6152,2
2565,2,2565,1,376,1,6588,36
2569,3,2569,2,377,1,1690,170
2570,2,2570,1,378,1,2516,4
2572,2,2572,1,379,1,1315,5
2572,3,2572,1,379,1,1315,5
2579,3,2579,2,380,1,625,5
2581,3,2581,2,381,1,368,170
2586,3,2586,2,382,1,6765,6
2590,3,2590,2,383,1,833,178
2603,3,2603,2,384,1,2302,201
2605,4,2605,1,385,1,5628,6
