GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,1437,2,5065,39,5065,34,0,0
4,1437,5,5065,45,5065,34,0,0
4,1441,3,868,37,868,181,868,3
4,1451,2,880,33,880,174,0,0
4,1465,3,1695,50,1695,10,1695,193
4,1467,3,783,31,783,171,783,4
4,1470,2,3033,2,3033,1,0,0
4,1472,3,173,38,173,4,173,170
4,1472,4,173,40,173,4,173,170
4,1473,3,2714,36,2714,179,2714,195
4,1475,3,1142,34,1142,171,1142,174
4,1475,4,1142,33,1142,171,1142,174
4,1484,3,634,34,634,6,634,173
4,1488,3,961,36,961,4,0,0
4,1516,2,6765,33,6765,4,0,0
4,1516,3,6765,35,6765,4,0,0
4,1517,3,2055,34,2055,181,2055,4
4,1528,3,47,36,47,4,47,170
4,1530,2,6030,38,6030,182,0,0
4,1546,3,51,32,51,30,51,171
4,1547,3,3416,3,3416,2,3416,1
4,1555,3,5120,33,5120,178,5120,188
4,1560,5,2435,36,2435,175,2435,4
4,1561,2,5375,30,5375,170,0,0
4,1562,2,105,35,105,912,105,913
4,1570,2,1762,41,1762,32,0,0
4,1570,3,1762,43,1762,32,0,0
4,1571,3,5664,33,5664,3,0,0
4,1585,2,354,31,354,171,0,0
4,1591,2,1782,33,1782,30,0,0
4,1591,3,1782,35,1782,30,0,0
4,1593,2,419,36,419,30,0,0
4,1595,2,2128,32,2128,30,0,0
4,1595,3,2128,33,2128,30,0,0
4,1597,2,6857,30,6857,199,6857,200
4,1601,2,5990,37,5990,4,0,0
4,1602,2,1918,33,1918,4,0,0
4,1617,2,5066,41,5066,180,0,0
4,1621,4,129,41,129,35,129,196
4,1635,3,893,31,893,170,893,3
4,1635,4,893,32,893,170,893,3
4,1637,2,5395,37,5395,7,0,0
4,1644,3,1038,33,1038,173,1038,30
4,1646,3,2177,35,2177,5,2177,179
4,1646,4,2177,36,2177,5,2177,179
4,1649,2,2083,30,2083,171,0,0
4,1654,3,2593,33,2593,170,2593,175
4,1670,3,2849,32,2849,3,2849,174
4,1671,2,702,32,702,30,0,0
4,1676,3,5987,35,5987,188,5987,6
4,1676,4,5987,36,5987,188,5987,6
4,1685,3,1905,32,1905,172,1905,5
4,1687,2,3027,2,3027,1,0,0
4,1692,2,6166,60,6166,50,6166,11
4,1702,2,2461,31,2461,171,2461,3
4,1709,2,452,38,452,30,0,0
4,1712,3,2054,30,2054,3,2054,170
4,1712,4,2054,31,2054,3,2054,170
4,1714,3,713,184,713,183,713,190
4,1735,5,729,41,729,188,729,6
4,1735,6,729,43,729,188,729,6
4,1738,3,517,32,517,2,517,1
4,1747,2,5501,41,5501,32,0,0
4,1747,3,5501,44,5501,32,0,0
4,1748,2,5885,33,5885,174,0,0
4,1755,2,2272,33,2272,3,0,0
4,1759,3,1522,40,1522,8,1522,174
4,1776,3,582,34,582,174,582,4
4,1785,2,5314,37,5314,30,0,0
4,1785,3,5314,38,5314,30,0,0
4,1797,3,3348,6,3348,5,3348,1
4,1804,2,5863,40,5863,31,0,0
4,1804,3,5863,39,5863,31,0,0
4,1819,3,1152,38,1152,176,1152,35
4,1827,3,1411,44,1411,31,1411,195
4,1829,3,5442,178,5442,31,5442,185
4,1850,3,327,33,327,31,327,172
4,1867,2,1945,32,1945,30,0,0
