HBCREL97,HBCID97,HBCSN97,RELSHIP,Q11A1M,Q11A1D,Q11A1Y,Q11A2M,Q11A3,Q11A4,Q11A5M,Q11A6,Q11A7,Q11A8,Q11A9,Q11A10,Q11A11A,Q11A11B,Q11A11C,Q11A11D,Q11A11E,Q11A11F,Q11A11G,Q11A11H,Q11A11I,Q11A11J,Q11A11K,Q11A11L,Q11A11M,Q11A11N,Q11A11O,Q11A11P,Q11A11Q,Q11A11R,Q11A11S,Q11A11T,Q11A11U,Q11A11V,Q11A11W,Q11A11X,Q11A11Y,Q11A11Z,Q11A11AA,Q11A11BB,Q11A11CC,Q11A12,Q11A13,Q11A14,Q11A14A,Q11A15A,Q11A15B,Q11A15C,Q11A15D,Q11A15E,Q11A15F,Q11A15G,Q11A16A,Q11A16B,Q11A16C,Q11A16D,Q11A16E,Q11A16F,Q11A17,Q11A18,Q11A19,Q11A20,Q11A21,Q11A21A,Q11A21B,Q11A21C,Q11A21D,Q11A21E,Q11A22,Q11A23N,Q11A24,Q11A24A,Q11A24B,Q11A25,Q11A25A,Q11A25B,Q11A25C,Q11A26,Q11A27,Q11A28,Q11A29,Q11A30,Q11A31,Q11A32,Q11A32AA,Q11A32AB,Q11A32AC,Q11A32AD,Q11A32AE,Q11A32AF,Q11A32AG,Q11A33,Q11A34,Q11A35,Q11A37,Q11A38,Q11A39A,Q11A39B,Q11A39C,Q11A39D,Q11A39E,Q11A39F,Q11A39G,Q11A39H,Q11A39I,Q11A40A,Q11A40B,Q11A40C,Q11A40D,Q11A40E,Q11A40F,Q11A40G,Q11A41A,Q11A41B,Q11A41C,Q11A41D,Q11A41E,Q11A42,Q11B1M,Q11B1D,Q11B1Y,Q11B2
3,2317,4,4,7,2,1997,6,5,48,999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,9,1,1,3,0,1,0,0,4,2,0,0,0,0,23400,64800,50,9,1,1,1,1,5,5,1,0,90,3,9,5,0,0,0,1,9,9,9,2,1,9,9,9,9,9,9,9,99,1,1933,5,2,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,30000,6,27,1997,5
3,3773,3,4,5,29,1997,24,5,40,156,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,6,1,2,2,0,1,0,0,6,0,0,0,0,0,19800,64800,52,1,1,1,1,1,5,5,5,99,1.5,1,1,5,0,0,0,3,5,5,5,2,2,0,0,0,0,0,0,0,0,1,1952,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,99999,5,29,1997,4
3,2038,4,1,4,14,1997,60,5,50,180,0,5,2,2,2,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,1,9,9,1,0,0,0,0,1,0,2,0,0,0,0,0,27000,64800,52,1,1,1,1,1,5,5,5,99,0,9,9,5,0,0,0,4,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1947,5,2,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,3380,4,14,1997,1
3,2252,2,4,7,1,1997,1,3.5,12,10,0,5,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,1,1,8,0,0,2,3,0,0,1,6,0,0,0,0,0,19800,79200,52,1,1,1,5,1,5,5,5,99,65,3,1,1,2,8,9,2,1,5,5,2,1,2,0,0,0,1,0,0,1,1,1962,1,4,1,9,9,9,1,1,1,9,9,9,5,5,5,5,5,5,5,9,9,9,9,9,5000,99,99,9999,9
3,6180,4,4,11,12,1997,3,5,9,300,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,3,2,0,4,0,4,0,0,5,0,5,0,0,0,21600,64800,50,3,1,1,1,1,5,5,5,99,12,2,1,1,2,2,2,3,1,5,5,2,1,1,9,9,9,9,9,9,99,1,1953,5,3,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,15000,11,10,1997,1
3,1614,5,4,12,19,1997,4,4,32,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,28800,64800,99,1,1,1,1,1,1,5,5,99,150,3,3,5,0,0,0,7,5,5,5,2,5,0,0,0,0,0,0,0,0,1,1971,1,4,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99998,12,17,1997,3
3,1892,3,4,3,25,1997,3,5,40,240,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25200,82800,52,1,1,5,5,5,5,1,5,99,20,2,1,5,0,0,0,4,5,5,5,2,1,1,0,0,0,0,0,0,1,1,1958,5,4,1,5,1,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3600,3,25,1997,2
3,432,3,2,5,99,1997,18,5,48,999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,25200,62100,51,1,1,1,1,1,5,5,5,99,50,3,1,5,0,0,0,4,5,5,5,2,1,1,0,0,0,0,0,0,1,1,1966,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99999,5,1,1997,4
3,1938,3,2,3,28,1997,24,4,35,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,25200,64800,40,1,1,1,1,1,5,5,5,99,0,9,9,5,0,0,0,4,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1925,5,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,3,19,1997,3
3,2204,3,4,6,11,1997,12,5,45,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,0,5,0,0,0,0,0,23400,63000,52,1,1,1,1,1,1,5,5,99,1.5,1,1,5,0,0,0,3,1,5,5,2,1,1,0,0,1,0,0,0,0,1,1971,5,3,5,5,5,5,5,1,5,5,5,9,5,5,5,5,5,5,9,5,5,5,5,9,7500,6,26,1997,4
