CHILDID97,CHILDSN97,PCGID97,PCGSN97,CDSHID97,PCGINST97
1944,4,1944,1,472,1
1948,2,1948,1,473,1
1948,3,1948,1,473,1
1950,3,1950,1,474,1
1961,4,1961,2,475,1
1961,8,1961,2,475,1
1972,3,1972,2,476,1
1974,4,1974,2,477,1
1976,4,1976,2,478,1
1984,5,1984,2,479,1
1989,3,1989,2,480,1
1990,5,1990,1,481,1
1990,6,1990,2,481,2
1993,3,1993,2,482,1
1995,2,1995,1,483,1
1997,5,1997,2,484,1
1998,3,1998,2,485,1
1998,4,1998,2,485,1
2001,3,2001,2,486,1
2001,4,2001,2,486,1
2014,4,2014,2,487,1
2014,5,2014,2,487,1
2024,4,2024,2,488,1
2024,5,2024,2,488,1
2029,3,2029,2,489,1
2029,4,2029,2,489,1
2030,4,2030,2,490,1
2035,3,2035,2,491,1
2035,4,2035,2,491,1
2039,3,2039,2,492,1
2045,3,2045,2,493,1
2048,3,2048,2,494,1
2048,4,2048,2,494,1
2049,3,2049,2,495,1
2049,4,2049,2,495,1
2057,5,2057,2,496,1
2058,5,2058,2,497,1
2059,3,2059,2,498,1
2059,4,2059,2,498,1
2066,3,2066,2,499,1
2071,4,2071,2,500,1
2077,4,2077,2,501,1
2079,3,2079,2,502,1
2079,4,2079,2,502,1
2084,3,2084,2,503,1
2084,4,2084,2,503,1
2089,8,2089,2,504,1
2092,2,2092,1,505,1
2099,2,2099,1,506,1
2099,3,2099,1,506,1
2102,5,2102,2,507,1
2102,6,2102,2,507,1
2103,3,2103,2,508,1
2104,4,2104,2,509,1
2106,3,2106,1,510,1
2110,3,2110,2,511,1
2110,4,2110,2,511,1
2116,3,2116,2,512,1
2117,3,2117,2,513,1
2121,3,2121,2,514,1
2122,3,2122,2,515,1
2124,7,2124,2,516,1
2126,3,2126,1,517,1
2126,4,2126,1,517,1
2127,2,2127,1,518,1
2129,3,2129,1,519,1
2132,3,2132,2,520,1
2137,2,2137,1,521,1
2139,2,2139,1,522,1
2139,4,2139,1,522,1
2140,4,2140,3,523,1
2144,4,2144,2,524,1
2145,2,2145,1,525,1
2145,3,2145,1,525,1
2153,3,2153,2,526,1
2153,4,2153,2,526,1
2156,3,2156,1,527,1
2156,4,2156,1,527,1
2159,3,2159,2,528,1
2159,4,2159,2,528,1
2160,3,2160,2,529,1
2170,3,2170,2,530,1
2178,5,2178,2,531,1
2178,6,2178,2,531,1
2179,2,2179,1,532,1
2179,3,2179,1,532,1
2182,3,2182,1,533,1
2182,4,2182,1,533,1
2192,3,2192,2,534,1
2193,2,2193,1,535,1
2193,3,2193,1,535,1
2196,3,2196,2,536,1
2200,4,2200,1,537,1
2200,5,2200,1,537,1
2204,3,2204,2,538,1
2208,3,2208,2,539,1
2208,4,2208,2,539,1
2216,4,2216,2,540,1
2220,4,2220,2,541,1
2220,5,2220,2,541,1
2226,2,2226,1,542,1
2226,3,2226,1,542,1
2233,4,2233,2,543,1
2233,5,2233,2,543,1
2234,5,2234,2,544,1
2234,7,2234,2,544,1
2244,3,2244,2,545,1
2244,4,2244,2,545,1
2256,4,2256,1,546,1
2259,3,2259,2,547,1
2259,4,2259,2,547,1
2283,3,2283,2,548,1
2285,2,2285,1,549,1
2289,4,2289,2,550,1
2289,5,2289,2,550,1
2294,3,2294,2,551,1
2294,4,2294,2,551,1
2306,3,2306,2,552,1
2311,3,2311,2,553,1
2312,3,2312,1,554,1
2312,4,2312,1,554,1
2315,4,2315,2,555,1
2317,4,2317,2,556,1
2319,4,2319,2,557,1
2319,5,2319,2,557,1
2322,3,2322,2,558,1
2322,4,2322,2,558,1
2324,3,2324,2,559,1
2324,4,2324,2,559,1
2326,5,2326,2,560,1
2330,2,2330,1,561,1
