DEMREL97,DEMID97,DEMSN97,CHRACE,CHIWMON,CHIWDAY,CHIWYR,AGEATCH,AGEATPCG,PCGIWMON,PCGIWDAY,PCGIWYR,HOMESCHL,NEWIMMI,PCG,OCG,RELPCG97,RELOCG97,CH97PRWT,CH97HHWT,PCGHHBWT,OCGCHBWT,OCGHHBWT,SUBSELWT,SBLNUM97,BIOPR97,BIOGPR97
6,1503,4,1,4,30,1997,155.89999,155.60001,4,23,1997,5,5,1,0,1,5,15.592,15.592,22.202999,28.577999,27.530001,1,2,1,2
6,1503,5,1,4,30,1997,74.400002,74.199997,4,23,1997,5,5,1,0,1,5,15.592,15.592,22.202999,28.577999,27.530001,1,2,1,2
6,4750,3,1,0,0,0,0,35,6,19,1997,5,5,1,1,1,0,15.95,15.95,0,0,0,1,0,1,2
6,21,3,1,3,15,1997,43.5,43.5,3,15,1997,5,5,1,1,1,4,9.8839998,9.8839998,0,17.916,0,1,1,1,2
6,21,4,1,0,0,0,0,15,3,15,1997,5,5,1,1,1,4,9.8839998,9.8839998,0,17.916,0,1,1,1,2
6,956,2,2,10,14,1997,97.300003,96.699997,9,27,1997,5,5,1,0,1,0,10.776,10.776,0,0,0,1,96,2,0
6,4006,2,2,3,31,1997,81.900002,82,4,4,1997,5,5,1,3,1,99,19.325001,19.325001,38.039001,40.091,52.516998,1,1,2,2
6,4006,3,2,3,31,1997,69.699997,69.900002,4,4,1997,5,5,1,3,1,99,19.325001,19.325001,38.039001,40.091,52.516998,1,1,2,2
6,2925,4,1,4,22,1997,143.89999,143.89999,4,22,1997,5,5,1,1,1,4,29.799999,29.799999,49.153,54.014999,55.158001,1,1,1,0
6,97,4,1,4,4,1997,140.3,140.3,4,4,1997,5,5,1,1,1,4,33.429001,33.429001,47.724998,50.189999,48.348,1,1,1,0
6,2642,3,1,0,0,0,0,56.799999,4,20,1998,5,5,1,1,1,0,17.993999,17.993999,0,0,0,1,1,1,2
6,2642,4,1,0,0,0,0,34.299999,4,20,1998,5,5,1,1,1,0,17.993999,17.993999,0,0,0,1,1,1,2
6,3368,3,1,4,24,1997,146.7,146.7,4,24,1997,5,5,1,1,1,4,27.993,18.662001,37.632999,45.632,45.526001,1.5,2,1,2
6,1962,3,1,4,28,1997,137.39999,137.39999,4,28,1997,5,5,1,1,1,0,19.464001,19.464001,0,0,0,1,1,1,2
6,1962,4,1,4,28,1997,108.9,108.9,4,28,1997,5,5,1,1,1,0,19.464001,19.464001,0,0,0,1,1,1,2
6,3368,5,1,4,24,1997,88.900002,88.900002,4,24,1997,5,5,1,1,1,4,27.993,18.662001,37.632999,45.632,45.526001,1.5,2,1,2
6,2121,3,1,4,7,1997,51.099998,51.099998,4,7,1997,5,5,1,1,1,4,18.761,18.761,25.222,30.583,30.513,1,0,1,2
6,2262,3,1,0,0,0,0,156.39999,11,4,1997,5,5,1,1,1,0,17.108999,17.108999,0,0,0,1,1,1,0
6,1504,4,1,11,26,1997,61.700001,61.700001,11,26,1997,5,5,1,1,1,0,17.075001,11.383,0,0,0,1.5,2,1,2
6,1933,3,1,0,0,0,0,22.799999,10,21,1997,5,5,1,1,1,0,22.559,22.559,0,0,0,1,10,1,2
6,1504,3,1,10,26,1997,109.1,110.2,11,26,1997,5,5,1,1,1,0,17.075001,11.383,0,0,0,1.5,2,1,2
6,2008,3,1,0,0,0,0,117.4,10,6,1997,5,5,1,1,1,0,15.373,15.373,0,0,0,1,0,1,0
6,1466,3,1,3,18,1997,81.300003,81.400002,3,20,1997,5,5,1,1,1,4,11.827,11.827,20.285999,20.671,20.906,1,1,1,2
6,1466,4,1,3,18,1997,57.200001,57.200001,3,19,1997,5,5,1,1,1,4,11.827,11.827,20.285999,20.671,20.906,1,1,1,2
6,4847,3,1,0,0,0,0,36.5,5,7,1997,5,5,1,1,1,4,30.211,30.211,49.757,66.968002,61.415001,1,0,1,2
6,3635,4,1,9,23,1997,42.700001,42.700001,9,23,1997,5,5,1,1,1,0,4.5050001,4.5050001,0,0,0,1,1,1,2
6,3635,3,1,9,23,1997,97.5,97.5,9,23,1997,5,5,1,1,1,0,4.5050001,4.5050001,0,0,0,1,1,1,2
6,6097,4,2,0,0,0,0,16.700001,10,25,1997,5,5,1,1,1,4,19.638,19.638,38.653,40.738998,53.365002,1,2,1,2
6,6097,5,2,0,0,0,0,16.700001,10,25,1997,5,5,1,1,1,4,19.638,19.638,38.653,40.738998,53.365002,1,2,1,2
6,4499,2,1,5,13,1997,62.5,62,4,28,1997,5,5,1,0,1,0,36.236,36.236,0,0,0,1,1,2,0
6,4499,3,1,5,13,1997,41.599998,41.099998,4,28,1997,5,5,1,0,1,0,36.236,36.236,0,0,0,1,1,2,0
6,2344,3,1,4,10,1997,97.400002,97.5,4,14,1997,5,5,1,1,1,4,16.687,16.687,22.433001,27.201,27.138,1,1,1,2
6,2344,4,1,4,10,1997,61.599998,61.700001,4,14,1997,5,5,1,1,1,4,16.687,16.687,22.433001,27.201,27.138,1,1,1,2
6,4307,5,1,0,0,0,0,108.4,4,15,1997,5,5,1,1,1,0,28.652,19.101,0,0,0,1.5,3,1,2
6,4307,6,1,0,0,0,0,27.299999,6,27,1997,5,5,1,1,1,0,28.652,19.101,0,0,0,1.5,3,1,2
6,3345,4,1,4,13,1997,128.5,128.5,4,13,1997,5,5,1,1,1,4,19.068001,19.068001,29.528999,30.402,0,1,1,1,2
6,3195,5,1,4,10,1997,135.2,135.2,4,10,1997,5,5,1,1,1,4,27.871,27.871,37.469002,45.431999,45.327999,1,2,1,0
6,3994,2,1,0,0,0,0,14.8,6,12,1997,5,5,1,0,1,0,18.719,18.719,30.875999,0,0,1,0,2,2
6,3992,4,1,4,30,1997,106.3,106.3,4,30,1997,5,5,1,1,1,4,3.1930001,3.1930001,5.2659998,5.7870002,5.9099998,1,2,1,2
6,3992,5,1,4,30,1997,75.599998,75.400002,4,24,1997,5,5,1,1,1,4,3.1930001,3.1930001,5.2659998,5.7870002,5.9099998,1,2,1,2
6,632,4,1,4,29,1997,127.4,127,4,17,1997,5,5,1,1,1,4,18.174999,18.174999,29.979,32.944,33.640999,1,2,1,2
6,3594,4,1,5,31,1997,123.9,123.9,5,31,1997,5,5,1,1,1,4,17.302,17.302,29.676001,30.24,30.584,1,2,1,2
6,632,5,1,4,29,1997,96.300003,96.699997,5,9,1997,5,5,1,1,1,4,18.174999,18.174999,29.979,32.944,33.640999,1,2,1,2
6,389,5,1,4,9,1997,90,90,4,9,1997,5,5,1,1,1,4,11.791,7.8610001,18.837,36.155998,36.155998,1.5,4,1,2
6,3594,5,1,5,31,1997,74,74,5,31,1997,5,5,1,1,1,4,17.302,17.302,29.676001,30.24,30.584,1,2,1,2
6,389,7,1,0,0,0,0,6,4,9,1997,1,5,1,1,1,4,11.791,7.8610001,18.837,36.155998,36.155998,1.5,4,1,2
6,5242,3,1,9,16,1997,149.60001,149.60001,9,16,1997,5,5,1,1,1,0,24.84,16.559999,0,0,0,1.5,2,1,2
6,5267,3,1,0,0,0,0,127.2,10,25,1997,5,5,1,1,1,0,20.763,20.763,0,0,0,1,0,2,2
6,5242,5,1,9,16,1997,100.7,100.7,9,16,1997,5,5,1,1,1,0,24.84,16.559999,0,0,0,1.5,2,1,2
6,2208,3,1,5,22,1997,93.300003,93.199997,5,18,1997,5,5,1,1,1,4,15.637,15.637,24.215,24.931999,26.601999,1,1,1,2
6,2208,4,1,0,0,0,0,25,5,18,1997,5,5,1,1,1,4,15.637,15.637,24.215,24.931999,26.601999,1,1,1,2
6,3648,3,1,6,5,1997,123.5,123.5,6,5,1997,1,5,1,1,1,0,21.667999,14.446,0,0,0,1.5,2,1,0
6,3648,4,1,6,5,1997,87.199997,87.199997,6,5,1997,1,5,1,1,1,0,21.667999,14.446,0,0,0,1.5,2,1,0
6,5413,2,1,0,0,0,0,140,12,6,1997,5,5,1,0,1,0,20.209,13.472,32.285,0,0,1.5,2,2,2
6,5413,4,1,0,0,0,0,86.199997,11,25,1997,5,5,1,0,1,0,20.209,13.472,32.285,0,0,1.5,2,2,2
6,98,3,1,5,3,1997,129.3,129.3,5,3,1997,5,5,1,1,1,4,29.976999,29.976999,42.794998,45.006001,43.354,1,1,1,0
6,98,4,1,5,3,1997,98.5,98.5,5,3,1997,5,5,1,1,1,4,29.976999,29.976999,42.794998,45.006001,43.354,1,1,1,0
