EMSAREL97,EMSAID97,EMSASN97,Q12A1,Q12A2A,Q12A2B,Q12A2C,Q12A2D,Q12A2E,Q12A2F,Q12A2G,Q12A2H,Q12A2I,Q12A2J,Q12A2K,Q12A2L,Q12A2M,Q12A2N,Q12A2O,Q12A2P,Q12A3,Q12A4,Q12A5,Q12A6A,Q12A6B,Q12A6C,Q12A6D,Q12A6E,Q12A6F,Q12A7A,Q12A7B,Q12A7C,Q12A7D,Q12A7E,Q12A8,Q12A9,Q12A10,Q12A11,Q12A12,Q12A13,Q12A14,Q12A15,Q12A16,Q12A17,Q12A18,Q12A19T,Q12A19S,Q12A20AN,Q12A20AP,Q12A20BN,Q12A20BP,Q12A20CN,Q12A20CP,Q12A20DN,Q12A20DP,Q12A20EN,Q12A20EP,Q12A20FN,Q12A20FP,Q12A21AN,Q12A21AP,Q12A21BN,Q12A21BP,Q12A21CN,Q12A21CP,Q12A21DN,Q12A21DP,Q12A21EN,Q12A21EP,Q12A21FN,Q12A21FP,Q12A21GN,Q12A21GP,Q12A21HN,Q12A21HP,Q12A22A,Q12A22B,Q12A22C,Q12A23,Q12A24,Q12A25,Q12A26,Q12A27,Q12A28,Q12A28A,Q12A28B,Q12A28C,Q12A28D,Q12A29A,Q12A29B,Q12A29C,Q12A29D,Q12A29E,Q12A29F,Q12A29G,Q12A30A,Q12A30B,Q12A30C,Q12A30D,Q12A30E,Q12A31A,Q12A31B,Q12A31C,Q12A31D,Q12A31E,Q12A31F,Q12A31G,Q12A31H,Q12A32,PRESCHL
3,1479,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,5,1,585,36,48,519,3,7,8,0,0,0,0,124,42,18,2,1,5,1,1,34,29,6,5,1,1,33,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,98,98,55,6,5,26142,99998,99998,5,0,0,0,0,1,3,1,1,1,1,1,1,5,5,5,1,1,1,2,1,1,1,1,1,183,0
3,1300,4,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,5,2,675,57,119,17,187,29,1,6,9999,273,999,378,60,99,1.7,1,1,5,1,29,13,0,0,0,1,25,30,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,0,0,0,0,6,0,99,4,2,26223,41826,4276,5,0,0,0,0,1,2,1,1,1,1,4,1,5,5,5,5,1,1,1,1,1,1,1,1,175,0
3,1300,5,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,5,2,675,57,119,17,187,29,1,6,9999,273,999,378,60,99,1.7,1,1,5,1,29,13,0,0,0,1,25,30,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,0,0,0,0,6,0,99,4,2,26223,41826,4276,5,0,0,0,0,1,2,1,1,1,1,4,1,5,5,5,5,1,1,1,1,1,1,1,1,175,0
3,4171,3,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,810,45,162,551,41,41,0,16,81,24,57,567,41,40,1,1,1,5,1,46,46,26,26,99,1,17.6,28,0,13,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,2,99,30,99,6,26000,99999,35,5,0,0,0,0,2,3,1,3,1,2,2,1,5,5,5,5,2,2,1,1,1,1,1,2,180,0
3,5547,3,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,417,22,1,416,0,0,0,0,0,0,0,400,5,2,5,1,1,5,1,32,31,10,10,2,1,20,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,6,99,99,3,2,23000,34000,99999,5,0,0,0,0,2,2,2,2,1,2,1,1,5,5,5,1,2,1,1,1,1,1,1,2,180,0
3,4960,5,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,1,206,7,16,190,0,0,0,0,0,0,0,163,0,0,10,1,1,5,5,23,23,3,3,0,1,20,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,1,0,0,0,4,0,0,2,1,22000,30000,99999,5,0,0,0,0,1,1,2,2,1,1,1,1,5,5,5,5,2,1,1,1,1,1,1,1,180,0
3,4958,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,454,8,41,413,0,0,0,0,402,0,0,353,40,2,1,1,1,1,1,45,40,10,10,6,1,12.7,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,35,35,99,2,2,22149,29000,35,5,0,0,0,0,2,2,2,2,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,999,0
3,4961,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,454,8,41,413,0,0,0,0,402,0,0,353,40,2,1,1,1,1,1,45,40,10,10,6,1,12.7,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,35,35,99,2,2,22149,29000,35,5,0,0,0,0,2,2,2,2,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,999,0
3,2446,2,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,2,540,22,505,21,4,4,2,4,0,9999,0,223,53,22,2,1,1,5,1,31,31,19,19,0,1,26,30,0,1,0,99,99,99,99,99,99,9,9,0,0,0,0,0,0,0,0,0,75,0,25,0,0,0,0,5,20,99,2,1,21000,29000,99999,5,0,0,0,0,2,4,1,4,1,1,2,1,5,5,5,5,1,1,1,1,1,1,1,1,180,0
3,2878,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,770,62,347,424,0,0,0,0,0,0,0,655,0,1,9,1,1,5,5,35,35,23,23,0,1,24,0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,4,99,99,1,1,20000,99999,15,5,0,0,0,0,1,2,2,1,1,1,1,1,1,5,5,1,2,1,2,1,1,1,1,1,180,0
