FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,1962,4,1,4,28,1997,4,28,1997,1,1,2,5,1,5,1,4,28,1997,4,28,1997,6,1,2,5,1,5
3,3368,5,1,4,21,1997,4,24,1997,1,1,1,5,1,5,1,4,20,1997,4,24,1997,7,1,1,5,1,5
3,2121,3,1,3,19,1997,3,29,1997,3,1,2,5,5,1,1,3,23,1997,3,29,1997,7,4,2,5,5,1
3,1504,4,1,11,25,1997,11,26,1997,2,1,4,5,5,1,1,11,22,1997,11,26,1997,6,1,3,5,5,1
3,1933,3,1,10,17,1997,10,17,1997,5,1,2,5,5,1,1,10,19,1997,10,19,1997,7,1,2,5,5,1
3,1504,3,1,11,25,1997,11,26,1997,2,1,2,5,5,1,1,11,22,1997,11,26,1997,6,1,3,5,5,1
3,2008,3,1,10,8,1997,10,9,1997,3,1,2,5,5,1,1,10,4,1997,10,6,1997,6,1,3,5,5,1
3,1466,3,1,3,18,1997,3,19,1997,2,1,2,1,1,5,1,3,16,1997,3,18,1997,7,2,2,1,1,5
3,1466,4,1,3,18,1997,3,19,1997,2,1,2,1,1,5,1,3,16,1997,3,18,1997,7,2,2,1,1,5
3,4847,3,1,5,13,1997,5,15,1997,2,1,1,5,1,5,1,5,10,1997,5,15,1997,6,1,3,5,1,5
3,3635,4,1,9,22,1997,9,23,1997,1,1,4,5,1,5,1,99,99,9999,9,23,1997,7,1,9,5,1,5
3,3635,3,1,9,22,1997,9,23,1997,1,1,9,5,1,5,1,9,21,1997,9,23,1997,7,1,1,5,1,5
3,6097,4,1,10,13,1997,10,14,1997,1,1,1,1,5,5,1,10,18,1997,10,25,1997,6,1,3,5,1,5
3,6097,5,1,10,13,1997,10,14,1997,1,1,1,1,5,5,1,10,18,1997,10,25,1997,6,1,3,5,1,5
3,4499,2,1,5,2,1997,5,13,1997,5,1,2,1,1,5,1,5,11,1997,5,13,1997,7,9,4,5,1,5
3,4499,3,1,5,2,1997,5,13,1997,5,1,2,1,1,5,1,5,11,1997,5,13,1997,7,1,3,5,1,5
3,2344,3,1,4,7,1997,4,10,1997,1,1,3,1,5,5,1,4,5,1997,4,10,1997,6,1,2,1,5,5
3,2344,4,1,4,7,1997,4,10,1997,1,1,3,1,5,5,1,4,5,1997,4,10,1997,6,1,2,1,5,5
3,3195,5,1,4,7,1997,4,10,1997,1,1,2,1,1,5,1,4,6,1997,4,10,1997,7,2,2,1,1,5
3,3994,2,1,6,11,1997,6,12,1997,3,4,1,1,5,1,1,6,7,1997,6,12,1997,6,4,2,1,5,1
3,3992,4,1,4,29,1997,4,30,1997,2,1,2,5,1,5,1,4,27,1997,4,30,1997,7,1,2,5,1,5
3,3992,5,1,4,29,1997,4,30,1997,2,1,2,5,1,5,1,4,27,1997,4,30,1997,7,1,2,5,1,5
3,632,4,1,4,25,1997,4,28,1997,5,2,5,1,1,1,1,4,27,1997,4,29,1997,7,2,1,1,1,1
3,3594,4,1,5,13,1997,5,31,1997,2,1,2,1,1,1,1,5,18,1997,5,31,1997,7,4,3,1,1,1
3,632,5,1,4,25,1997,4,28,1997,5,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,389,5,1,4,7,1997,4,9,1997,1,1,2,1,1,5,1,99,99,9999,4,9,1997,7,9,9,1,1,5
3,3594,5,1,5,13,1997,5,31,1997,2,1,2,1,1,1,1,5,18,1997,5,31,1997,7,2,3,1,1,1
3,389,7,1,4,7,1997,4,9,1997,1,1,2,1,1,5,1,4,6,1997,4,9,1997,7,1,2,1,1,5
3,5242,3,1,9,10,1997,9,12,1997,3,3,1,9,9,9,1,9,14,1997,9,16,1997,7,3,2,1,5,1
3,5242,5,1,9,10,1997,9,12,1997,3,3,1,1,1,5,1,9,14,1997,9,16,1997,7,3,2,1,5,1
3,2208,3,1,5,9,1997,5,12,1997,5,1,5,1,5,1,1,5,10,1997,5,12,1997,6,1,1,5,5,1
3,2208,4,1,5,11,1997,5,12,1997,5,1,5,5,5,1,1,5,10,1997,5,12,1997,6,1,1,5,5,1
3,3648,3,1,6,3,1997,6,5,1997,2,2,2,1,1,5,1,6,1,1997,6,5,1997,7,2,3,1,1,5
3,3648,4,1,6,3,1997,6,5,1997,2,1,2,1,1,5,1,6,1,1997,6,5,1997,7,2,3,1,1,5
3,98,3,1,5,2,1997,5,3,1997,5,1,1,1,5,5,1,4,26,1997,5,3,1997,6,2,1,1,5,5
3,98,4,1,5,2,1997,5,3,1997,5,1,3,1,5,5,1,4,26,1997,5,3,1997,6,1,1,1,5,5
3,4894,3,1,5,2,1997,5,5,1997,5,1,1,1,5,1,1,5,4,1997,5,5,1997,7,1,2,1,5,1
3,1778,3,1,99,99,9999,6,7,1997,5,9,9,5,1,5,1,99,99,9999,6,7,1997,7,9,9,5,1,5
3,1778,4,1,99,99,9999,6,7,1997,5,9,9,5,1,5,1,99,99,9999,6,7,1997,7,9,9,5,1,5
3,2857,3,1,4,3,1997,4,3,1997,1,4,1,5,5,1,1,3,30,1997,4,5,1997,7,4,1,1,1,5
3,2664,3,1,9,26,1997,9,28,1997,5,1,3,5,5,1,1,9,27,1997,10,1,1997,6,1,4,5,1,5
3,1158,3,1,4,15,1997,4,17,1997,2,1,2,5,1,5,1,4,12,1997,4,17,1997,6,1,3,5,1,5
3,1158,5,1,4,15,1997,4,17,1997,2,1,2,5,1,5,1,4,12,1997,4,17,1997,6,1,2,5,1,5
3,2507,2,1,9,10,1997,9,12,1997,3,2,3,1,5,1,1,9,7,1997,9,12,1997,7,2,2,1,5,1
3,4021,4,1,5,2,1997,5,5,1997,5,2,2,1,5,1,1,5,3,1997,5,5,1997,6,2,3,1,5,1
3,745,3,1,4,17,1997,4,19,1997,4,1,1,5,1,5,1,4,13,1997,4,19,1997,7,1,2,5,1,5
3,4720,3,1,6,11,1997,6,20,1997,3,4,3,1,5,5,1,6,14,1997,6,20,1997,6,1,2,1,5,5
3,1570,4,1,3,24,1997,3,26,1997,1,4,1,1,5,1,1,3,22,1997,3,26,1997,6,4,2,1,5,1
