FOHHRL97,FOHHID97,FOHHSN97,Q8A0,Q8A1,Q8A2,Q8A2A,Q8A3,Q8A4,Q8A4A,Q8OCC,Q8IND,Q8A8,Q8A8A,Q8A9,Q8A10,Q8A11,Q8A11A,Q8A11B,Q8A12M,Q8A12Y,Q8B0,Q8B1,Q8B2,Q8B3,Q8B4_1ST,Q8B4_2ND,Q8B4_3RD,Q8B4_4TH,Q8B5,Q8B6,Q8B7,Q8B8A,Q8B8B,Q8B8C,Q8B8D,Q8B9A,Q8B9B,Q8B9C,Q8B10,Q8B11,Q8B12,Q8B13A,Q8B13B,Q8B13C,Q8B13D,Q8B13E,Q8B13F,Q8B13G,Q8B13H,Q8B13I,Q8B14A,Q8B14B,Q8B14C,Q8B14D,Q8C1A,Q8C1B,Q8C1C,Q8C1D,Q8C1E,Q8C1F,Q8C1G,Q8C1H,Q8C1I,Q8C1J,Q8C1K,Q8C1L,Q8C1M,Q8C1N,Q8C1O,Q8C1P,Q8C1Q,Q8C1R,Q8C1S,Q8C1T,Q8C1U,Q8C1V,Q8C1W,Q8C1X,Q8C1Y,Q8C1Z,Q8C1AA,Q8C1BB,Q8C1CC,Q8C2A,Q8C2B,Q8C2C,Q8C2D,Q8C2E,Q8C2F,Q8C2G,Q8C2H,Q8C2I,Q8C2J,Q8C3A,Q8C3B,Q8C3C,Q8C3D,Q8C3E,Q8C3F,Q8C3G,Q8C4,Q8C5MO,Q8C5TU,Q8C5WE,Q8C5TH,Q8C5FR,Q8C5SA,Q8C5SU,Q8C5A,Q8C6,Q8C7MO,Q8C7TU,Q8C7WE,Q8C7TH,Q8C7FR,Q8C7SA,Q8C7SU,Q8C7A,Q8C8,Q8C9MO,Q8C9TU,Q8C9WE,Q8C9TH,Q8C9FR,Q8C9SA,Q8C9SU,Q8C9A,Q8C10
2,1790,3,55500,5,1,2,12,1,0,715,77,300,4,40,999998,5,9,0,10,1959,99999,2,1,2,1,4,3,5,1,2,2,1,1,1,1,5,5,1,2,2,2,4,2,1,1,1,3,2,1,1,4,1,1,2,3,2,3,3,2,3,2,3,3,1,1,3,2,2,3,1,2,4,3,1,2,1,3,2,2,3,2,3,1,5,5,5,5,5,5,3,5,5,5,1,5,5,0,5,5,5,1,1,1,1,1,1,1,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,57600
2,2951,4,42300,5,5,0,11,3,1,374,418,300,3,30,999998,8,8,99,9,1966,99999,2,1,1,1,5,4,2,2,2,1,1,1,4,3,5,1,1,5,1,2,3,2,3,2,2,2,2,5,3,4,3,3,2,2,2,3,3,2,3,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,4,5,4,5,5,5,5,5,5,5,1,5,5,0,1,5,5,1,9,9,9,9,9,9,9,99,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43800
2,1790,4,55500,5,1,2,12,1,0,715,77,300,4,40,999998,5,9,0,10,1959,99999,2,1,2,1,4,3,5,1,2,2,1,1,1,1,5,5,1,2,2,2,4,2,1,1,1,3,2,1,1,4,1,1,2,3,2,3,3,2,3,2,3,3,1,1,3,2,2,3,1,2,4,3,1,2,1,3,2,2,3,2,3,1,5,5,5,5,5,5,3,5,5,5,1,5,5,0,5,5,5,1,1,1,1,1,1,1,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,57600
2,148,4,77100,1,1,1,17,1,0,202,707,999999,9,40,55000,0,0,0,11,1953,99999,2,2,1,3,4,5,1,2,1,1,3,5,4,4,1,1,5,2,1,2,2,2,2,1,1,2,3,1,4,4,3,2,4,2,1,9,9,2,3,9,9,2,3,2,2,2,2,3,2,2,3,2,3,2,1,2,2,2,2,1,3,2,3,5,5,4,3,4,3,3,5,5,1,5,5,0,1,5,1,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,78300
2,4025,2,74400,5,5,0,12,1,0,482,477,600,4,40,999998,5,5,0,3,1962,99999,2,1,1,3,5,4,1,1,1,1,4,1,1,1,5,1,5,6,1,2,5,5,3,3,3,3,3,1,1,4,1,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,3,3,1,3,2,2,1,2,1,4,1,1,3,2,3,1,4,4,4,4,4,4,4,3,4,4,1,5,5,0,5,5,5,1,1,5,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,75600
2,3807,4,66300,5,5,0,12,3,5,0,0,0,0,0,999998,5,1,0,9,1977,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66900
2,4025,4,74400,5,5,0,12,1,0,482,477,600,4,40,999998,5,5,0,3,1962,99999,2,1,1,3,5,4,1,1,1,1,4,1,1,1,5,1,5,6,1,2,5,5,3,3,3,3,3,1,1,4,1,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,3,3,1,3,2,2,1,2,1,4,1,1,3,2,3,1,4,4,4,4,4,4,4,3,4,4,1,5,5,0,5,5,5,1,1,5,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,75600
2,3417,4,68820,3,5,0,8,1,0,436,77,999999,9,40,999999,9,9,99,1,1969,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69120
2,693,3,72300,3,1,1,12,1,0,404,467,999999,9,40,999999,9,9,99,3,1952,99999,2,1,2,4,3,5,1,1,1,1,5,3,3,3,5,5,5,2,1,2,3,3,3,3,1,4,5,5,2,2,2,1,2,3,1,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,2,2,2,1,1,4,2,2,3,1,3,2,3,4,5,5,3,5,5,3,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74400
2,2561,2,42300,1,5,0,12,1,0,780,407,32000,6,45,40000,0,0,0,8,1946,99999,2,2,3,4,5,3,1,2,2,1,4,1,1,3,5,1,1,2,1,2,4,2,2,2,2,4,5,5,3,2,2,2,2,9,2,3,1,2,3,3,3,2,3,3,2,2,2,3,2,2,3,3,2,2,2,3,2,2,9,2,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,4.5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43500
