PDTREL97,PDTID97,PDTSN97,Q10A1M,Q10A1D,Q10A1Y,Q10A2,Q10A3,Q10A4,Q10A5,Q10A6,Q10A7,Q10A8,Q10A9A,Q10A9B,Q10A9C,Q10A9D,Q10A9E,Q10A9F,Q10A9G,Q10A10,Q10A11,Q10A12,Q10A13,Q10A14A,Q10A14B,Q10A14C,Q10A14D,Q10A14E,Q10A14F,Q10A14G,Q10A14H,Q10A14I,Q10A14J,Q10A14K,Q10A14L,Q10A15A,Q10A15B,Q10A15C,Q10A15D,Q10A15E,Q10A15F,Q10A15G,Q10A15H,Q10A15I,Q10A15J,Q10A15K,Q10A15L,Q10A15M,Q10A15N,Q10A15O,Q10A15P,Q10A15Q,Q10A15R,Q10A15S,Q10A15T,Q10A15U,Q10A15V,Q10A15W,Q10A15X,Q10A15Y,Q10A15Z,Q10A15AA,Q10A15BB,Q10A15CC,Q10A15DD,Q10A15EE,Q10A16,Q10A17,Q10A18,Q10A19A,Q10A19B,Q10A19C,Q10A19D,Q10A19E,Q10A19F,Q10A20,Q10A21,Q10A22,Q10A22A,Q10A23,Q10A24A,Q10A24B,Q10A24C,Q10A24D,Q10A24E,Q10A24F,Q10A24G,Q10A25A,Q10A25B,Q10A25C,Q10A25D,Q10A25E,Q10A26,Q10A26A,Q10A27,Q10A28,Q10A29,Q10A30A,Q10A30B,Q10A30C,Q10A30D,Q10A30E,Q10A30F,Q10A30G,Q10A31,Q10A32A,Q10A32B,Q10A32C,Q10A32D,Q10A32E,Q10A33,Q10A34,Q10A35,Q10A36,Q10A37,Q10A38,Q10A39,Q10A40,Q10A41,Q10A42,Q10A43,Q10B1M,Q10B1D,Q10B1Y,Q10B2,Q10B3H,Q10B3M,Q10B4,Q10B5,Q10B6A,Q10B6AB,Q10B6AE,Q10B6B,Q10B6BB,Q10B6BE,Q10B6C,Q10B6CB,Q10B6CE,Q10B6D,Q10B6DB,Q10B6DE,Q10B6E,Q10B6EB,Q10B6EE,Q10B7,Q10B8,Q10B9A,Q10B9AB,Q10B9AE,Q10B9B,Q10B9BB,Q10B9BE,Q10B9C,Q10B9CB,Q10B9CE,Q10B9D,Q10B9DB,Q10B9DE,Q10B9E,Q10B9EB,Q10B9EE,Q10B10,Q10B11,Q10B12A,Q10B12AB,Q10B12AE,Q10B12B,Q10B12BB,Q10B12BE,Q10B12C,Q10B12CB,Q10B12CE,Q10B12D,Q10B12DB,Q10B12DE,Q10B12E,Q10B12EB,Q10B12EE,Q10B13
3,4264,4,10,7,1997,1,3,9,2,2,0,12,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,7,1,5,0,1,0,0,12,0,0,0,0,1,0,2,0,0,1,3,24,3,7,1,5,5,1,5,5,5,5,1,5,5,5,1,2,1,1956,5,1,1,1,40,3,4,24000,99,99,9999,3,0,15,26760,28800,3,26880,27360,1,27360,27660,5,27660,28200,4,28200,28620,10,28620,30600,61200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58500,1,7,72600,75000,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1046,4,4,11,1997,1,2,5,7,7,1,18,2,1,3,2,1,2,1,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,9,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,0,5,5,12,0,1,0,0,4,1,1,5,0,1,0,0,0,9,8,0,0,1,1,0,0,0,1,1,156,3,6,5,1,1,1,5,5,9,5,5,1,1,1,9,2,1,1949,5,5,5,5,30,1,3,9100,4,16,1997,3,0,15,30600,31500,10,30600,31080,10,31080,32100,0,0,0,0,0,0,0,0,0,54000,1,1,53100,53400,3,53400,53880,9,53880,64800,0,0,0,0,0,0,64800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2084,3,4,21,1997,1,4,10,8,8,2,15,2,1,3,2,2,2,2,5,1,1,2,5,5,5,5,5,5,1,5,5,1,1,9,2,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,0,9,9,15,0,0,0,0,0,5,5,5,0,1,0,0,0,0,5,10,0,1,0,1,0,0,1,1,36,3,6,5,1,1,5,5,5,9,5,1,1,5,1,1,2,1,1951,5,5,1,1,15,3,4,12500,4,21,1997,1,0,5,42000,43200,5,42000,42900,3,42060,42300,1,42360,42540,10,42600,42720,10,42960,43200,52200,1,4,52500,52800,5,52800,53100,10,53100,53700,1,53700,54000,3,54000,54300,54600,1,3,59400,61500,6,63900,66000,4,68400,71400,0,0,0,0,0,0,1
3,756,4,4,29,1997,1,5,31,8,8,2,19,2,1,2,2,2,2,1,5,2,2,1,5,1,5,5,5,5,1,5,5,5,5,1,2,2,3,2,3,3,1,3,3,2,3,3,2,3,3,3,2,1,3,2,2,3,1,2,1,2,3,3,2,2,1,1,5,1,11,2,6,0,0,0,7,1,5,0,1,0,0,0,6,4,8,0,1,0,1,1,0,1,3,96,3,6,1,1,5,5,5,5,9,5,5,1,1,1,9,2,1,1967,5,1,1,1,37,2,6,23000,4,29,1997,2,0,2,27000,27900,5,27000,27300,3,27000,27300,1,27300,27600,7,27600,27900,4,27900,28800,50400,1,1,50400,51300,3,51300,52200,5,52200,53100,7,53100,55800,2,55800,56700,56700,1,1,79200,81000,5,81000,82800,0,0,0,0,0,0,0,0,0,1
3,4277,3,99,99,9999,1,5,40,36,36,1,20,2,2,3,3,3,3,3,5,2,3,1,5,5,5,5,1,5,1,5,5,1,1,9,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,13,3,1,1,0,2,7,1,5,0,1,0,0,0,0,6,14,0,4,0,0,0,0,5,0,36,3,6,5,5,5,5,5,5,5,5,1,1,1,1,9,2,1,1968,5,5,1,1,40,3,4,20000,6,11,1997,3,0,20,26700,27000,1,26700,27300,5,26700,27300,99,99999,99999,0,0,0,0,0,0,64800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,6100,3,12,8,1997,1,1,2,4,4,1,12,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,5,5,0,1,0,0,10,2,0,0,0,1,0,0,0,0,1,3,60,3,6,5,5,5,5,5,5,9,5,5,5,5,5,5,2,1,1953,5,5,1,1,25,3,3,5000,12,5,1997,5,0,10,27000,31500,1,27000,30600,5,30600,31200,3,31200,31500,4,31500,31800,4,31800,32400,39600,1,4,39900,40500,7,40500,41100,10,41100,42300,5,42300,43200,3,43200,44400,45000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5143,3,5,19,1997,1,4,10,9,9,0,24,1,1,3,3,3,3,3,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,24,0,0,0,0,0,1,1,5,0,5,0,0,0,1,18,5,0,2,1,0,0,0,5,0,84,3,7,5,1,1,1,5,5,5,5,5,5,5,5,5,2,1,1958,5,1,1,1,27,4,5,8000,5,19,1997,9,0,5,29700,30600,99,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,99,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,9,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,9
3,1395,3,10,21,1997,2,2,5,2,2,0,17,9,2,3,2,2,3,2,5,2,2,2,9,9,9,9,1,1,1,9,9,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,16,0,0,0,1,0,3,1,5,0,1,0,0,0,3,13,1,0,1,0,1,0,0,1,2,48,3,5,9,5,5,5,5,5,1,1,1,1,1,1,5,2,1,1955,5,5,5,1,40,1,1,15000,10,21,1997,2,0,30,28800,32400,1,28800,29700,3,29700,30300,2,30300,30600,4,30600,31200,5,31200,31500,50400,1,1,50400,51600,3,51600,53100,2,53100,54000,7,55800,57600,8,57600,58500,59400,1,1,63000,64800,3,64800,65400,7,65400,67200,4,67200,67800,5,67800,70200,1
3,2966,4,6,19,1997,1,5,17.5,9,9,99,9,2,9,9,2,9,9,9,5,2,1,2,5,5,5,5,5,5,5,5,5,5,5,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,2,9,0,0,0,0,0,1,5,5,0,1,0,0,0,0,3,6,0,1,0,0,0,0,5,0,48,7,6,1,1,9,9,9,9,9,5,9,9,9,9,1,2,1,1952,5,5,5,5,17.5,4,3,5600,6,19,1997,9,0,30,31500,32400,1,31500,32100,4,32100,32400,99,99999,99999,0,0,0,0,0,0,43200,1,10,43200,45000,10,45000,45600,10,45600,46200,10,46200,46800,0,0,0,46800,1,7,69000,69600,7,69600,70200,0,0,0,0,0,0,0,0,0,1
3,306,4,10,29,1997,1,5,3,3,3,2,16,2,9,3,2,2,9,9,5,2,2,2,5,5,5,5,5,5,1,5,1,5,5,9,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,0,5,5,1,6,7,1,1,0,5,1,9,9,1,0,0,0,0,0,99,99,1,0,1,0,0,1,2,48,3,6,1,1,5,5,5,5,1,9,5,5,5,1,9,2,1,1968,5,5,1,1,40,4,3,28000,11,3,1997,1,0,15,27600,28800,1,27600,27900,4,27900,28800,10,99999,99999,0,0,0,0,0,0,39900,1,4,39900,40500,10,40500,42300,10,42300,44400,10,45000,55200,8,55200,59400,59400,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
