ID_1997,SN_1997,weekly_avg_hrs_cat_3901_97,weekly_avg_hrs_cat_3902_97,weekly_avg_hrs_cat_3903_97,weekly_avg_hrs_cat_3904_97,weekly_avg_hrs_cat_3905_97,weekly_avg_hrs_cat_3906_97,weekly_avg_hrs_cat_3907_97,weekly_avg_hrs_cat_3908_97,weekly_avg_hrs_cat_3909_97,weekly_avg_hrs_cat_3910_97,weekly_avg_hrs_cat_3911_97,weekly_avg_hrs_cat_3912_97,weekly_avg_hrs_cat_3913_97,weekly_avg_hrs_cat_3914_97,weekly_avg_hrs_cat_3915_97,weekly_avg_hrs_cat_3916_97,weekly_avg_hrs_cat_3917_97,weekly_avg_hrs_cat_3918_97,weekly_avg_hrs_cat_3919_97,weekly_avg_hrs_cat_3920_97,weekly_avg_hrs_cat_3921_97,weekly_avg_hrs_cat_3923_97,weekly_avg_hrs_cat_3924_97,weekly_avg_hrs_cat_3925_97,weekly_avg_hrs_cat_3926_97,weekly_avg_hrs_cat_3927_97,weekly_avg_hrs_cat_3928_97,weekly_avg_hrs_cat_3929_97,weekly_avg_hrs_cat_3930_97,weekly_avg_hrs_cat_3931_97,weekly_avg_hrs_cat_3932_97,weekly_avg_hrs_cat_3933_97,weekly_avg_hrs_cat_3934_97,weekly_avg_hrs_cat_3935_97,weekly_avg_hrs_cat_3936_97,weekly_avg_hrs_cat_3937_97,weekly_avg_hrs_cat_3938_97,weekly_avg_hrs_cat_3939_97,parent_interactive_skill_hrs_wk_97
46,2,0.0,5.416666666666667,6.5,2.0,0.0,0.0,0.0,0.0,78.68333333333334,0.0,1.7333333333333334,0.0,58.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,9.25,0.0,0.0
46,3,0.0,1.3333333333333333,12.033333333333333,0.0,0.0,0.0,0.0,0.0,75.91666666666667,0.0,0.6333333333333333,0.0,50.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.583333333333332,8.666666666666666,0.0,0.0
47,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,73.6,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.15,0.5,0.0
56,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,86.16666666666667,0.0,0.0,0.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,14.083333333333334,0.0,0.0
57,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.16666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,54.833333333333336,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.833333333333333,0.0,0.0
57,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66666666666667,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,53.666666666666664,0.0,0.0
60,4,0.0,0.8333333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,79.41666666666667,4.666666666666667,0.6666666666666666,0.0,39.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,4.416666666666667,28.416666666666668,0.0,0.0
61,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58333333333333,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983333333333333,4.516666666666667,3.75,0.0,0.0,1.5,5.416666666666667,20.0,23.5,0.0,0.0
61,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33333333333333,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466666666666667,3.5,0.0,0.0,0.0,1.5,3.5,30.533333333333335,21.666666666666668,0.0,0.0
68,3,0.0,0.3333333333333333,20.416666666666668,2.1666666666666665,0.0,0.0,2.6666666666666665,0.6666666666666666,87.91666666666667,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.666666666666667,0.0,0.0,0.0,0.5,20.916666666666668,0.0,0.0,0.0,0.0,0.0,12.75,8.0,0.0,0.0
71,3,0.0,0.0,0.0,0.0,0.0,0.0,16.833333333333332,7.166666666666667,91.41666666666667,1.0,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,8.0,2.5,0.0
71,4,0.0,0.0,0.0,0.0,0.0,0.0,16.833333333333332,7.166666666666667,88.33333333333333,0.0,3.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.166666666666664,9.333333333333334,2.5833333333333335,0.0
74,4,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,4.583333333333333,3.75,97.61666666666666,0.0,7.633333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.583333333333336,17.166666666666668,0.0,0.0
76,3,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,89.16666666666667,14.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,8.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,10.333333333333334,0.0,0.0
76,4,0.0,1.25,0.0,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,113.25,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.583333333333332,20.916666666666668,0.0,0.0
78,3,0.0,3.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,84.63333333333334,0.0,0.8333333333333334,0.0,34.666666666666664,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.25,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,11.833333333333334,0.0,0.0
78,4,0.0,3.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,90.96666666666667,0.0,3.0833333333333335,0.0,19.5,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.233333333333334,11.083333333333334,0.0,0.0
79,5,0.0,4.333333333333333,0.0,1.6666666666666667,0.0,0.0,2.1666666666666665,6.166666666666667,94.26666666666667,0.0,0.0,0.0,43.916666666666664,0.0,0.0,0.0,0.0,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,3.1666666666666665,0.0,0.0
83,3,0.0,0.0,0.0,1.0,0.0,0.0,5.5,1.5,76.66666666666667,0.0,0.0,0.0,38.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,12.566666666666666,26.166666666666668,0.0,0.0
83,4,0.0,0.0,0.0,3.0833333333333335,0.0,0.0,5.5,1.5,84.91666666666667,0.0,4.833333333333333,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866666666666666,1.5,1.5,0.0,0.0,0.0,0.0,23.133333333333333,19.5,0.0,0.0
85,3,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,105.6,0.0,8.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,32.833333333333336,14.833333333333334,0.8333333333333334,0.0
85,4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,104.83333333333333,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,17.333333333333332,0.0,0.0
92,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3333333333333335,104.56666666666666,0.0,13.35,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,4.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,14.75,8.333333333333334,0.0,0.0
95,3,0.0,5.5,0.0,1.75,0.0,0.0,0.0,0.0,75.41666666666667,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,4.666666666666667,4.716666666666667,0.0,0.0,0.0,0.0,0.0,7.6,16.266666666666666,0.0,0.0
95,4,0.0,5.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,78.91666666666667,0.0,0.0,0.0,43.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.75,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.733333333333333,11.0,2.1666666666666665,0.0
97,4,0.0,5.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,82.88333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,4.0,62.916666666666664,7.85,0.0
98,3,0.0,2.9833333333333334,0.0,0.75,0.0,0.0,1.6666666666666667,3.3333333333333335,71.88333333333334,0.0,1.1,6.616666666666666,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,20.933333333333334,6.166666666666667,0.6,0.0
98,4,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,77.78333333333333,0.0,1.1,6.016666666666667,1.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,23.783333333333335,52.13333333333333,0.0,0.0
104,2,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,109.58333333333333,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,0.0,0.0,0.0,0.0,0.0,21.0,17.25,2.0833333333333335,0.0
111,5,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334,80.41666666666667,0.0,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.583333333333336,20.916666666666668,0.0,0.0
117,4,0.0,0.0,0.0,1.5333333333333334,0.0,0.0,0.0,0.0,84.3,0.0,0.0,0.0,49.083333333333336,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,14.933333333333334,1.8,0.0,0.0,0.0,0.0,2.0,2.0833333333333335,4.166666666666667,1.0333333333333334,0.0
118,3,0.0,0.0,0.0,0.5,0.0,0.0,3.3666666666666667,2.1333333333333333,102.51666666666667,0.0,0.5,9.25,20.25,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.233333333333334,0.0,0.0
120,3,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.5,2.1666666666666665,76.33333333333333,0.0,49.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,5.75,0.0,12.333333333333334,12.666666666666666,0.0,0.0
127,3,0.0,3.25,0.0,3.0833333333333335,0.0,0.0,0.16666666666666666,0.1,78.81666666666666,0.0,0.3333333333333333,0.0,38.5,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,2.6666666666666665,16.233333333333334,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,0.0,12.583333333333334,6.216666666666667,0.0,0.0
127,4,0.0,0.5833333333333334,0.0,0.6666666666666666,0.0,0.0,2.5,0.7666666666666667,79.16666666666667,0.0,3.65,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.833333333333332,16.666666666666668,0.0,0.0
128,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.25,88.41666666666667,0.0,7.916666666666667,0.0,5.25,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.733333333333333,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,20.0,25.333333333333332,0.0,0.0
130,3,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1.7666666666666666,87.08333333333333,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,39.43333333333333,30.983333333333334,0.0,0.0
