DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
6,741,5,1,0,1,22.267,1,0,1,1,1,1,0,2092,1,3,2,1,0,0,0
6,741,6,1,0,1,22.149,1,0,1,1,1,1,0,2092,1,3,2,1,0,0,0
6,742,3,1,0,5,17.365,1,0,1,5,1,1,1,2077,1,1,1,1,2,2,1
6,751,4,1,0,1,11.457,1,0,1,1,5,1,0,2002,3,3,2,2,2,2,0
6,751,5,1,0,1,11.368,1,0,1,1,1,1,0,2002,3,3,2,2,2,2,0
6,752,3,1,4,5,7.9050002,1,1,1,0,1,0,1,2002,1,1,1,1,2,2,1
6,753,4,1,4,5,14.4,1,1,5,5,1,5,1,2092,1,1,1,1,2,2,1
6,772,3,1,0,5,43.709999,1,0,1,1,1,0,0,2001,2,2,2,2,2,2,0
6,784,3,1,4,5,20.483999,1,1,1,1,1,1,1,2004,2,1,1,1,2,2,1
6,789,3,1,4,1,20.462,1,1,1,1,1,5,5,2025,2,2,1,1,2,2,1
6,789,4,1,4,1,20.118,1,1,1,5,1,5,5,2025,2,2,1,1,2,2,1
6,796,3,1,4,5,20.669001,1,1,1,1,1,1,1,2014,1,1,1,1,0,2,1
6,801,3,1,4,1,22.559,1,1,1,1,1,0,0,2034,1,1,1,1,2,2,0
6,801,4,1,4,1,22.025999,1,1,1,1,1,0,0,2034,1,1,1,1,2,2,0
6,802,3,1,4,5,34.695999,1,1,1,0,1,1,1,2098,1,1,1,1,2,2,1
6,804,3,1,4,5,21.621,1,1,1,1,1,0,1,2028,1,1,1,1,0,0,1
6,805,2,1,0,5,23.094,1,0,1,1,1,5,1,2041,0,0,0,2,0,2,1
6,815,2,1,0,5,25.620001,1,0,1,1,1,0,0,2111,0,0,2,2,0,0,0
6,818,3,1,4,5,20.653999,1,1,1,1,1,1,5,2026,1,1,1,1,2,2,1
6,819,3,1,4,1,26.485001,1,1,1,1,1,1,0,2097,2,2,1,1,2,2,0
6,819,4,1,4,1,26.544001,1,1,1,1,1,1,0,2097,2,2,1,1,2,2,0
6,821,2,1,0,5,56.609001,1,0,1,1,1,0,5,2111,0,0,2,2,0,0,1
6,823,2,1,0,5,29.274,1,0,1,5,1,1,1,2016,0,0,2,2,2,2,1
6,824,4,1,7,1,45.695999,1,1,1,1,1,1,1,2016,4,4,2,2,2,2,1
6,824,5,1,7,1,46.032001,1,1,1,0,1,1,5,2016,4,4,2,2,2,2,1
6,828,3,1,4,5,23.039,1,1,1,0,1,0,5,2006,1,0,1,1,0,0,1
6,832,3,1,0,5,8.3800001,1,0,5,5,5,5,0,2050,1,1,2,2,0,0,5
6,833,5,1,4,5,1.131,1,1,1,1,1,1,0,2008,2,2,1,1,2,2,0
6,834,3,1,0,1,1.3380001,1,0,1,1,1,1,0,2026,1,1,2,1,2,2,0
6,834,4,1,0,1,1.313,1,0,1,1,1,1,0,2026,1,1,2,1,2,2,0
6,837,3,1,0,5,7.9710002,1,0,1,1,1,1,0,2071,1,1,2,2,0,0,0
6,840,2,1,0,1,17.211,1,0,1,1,1,1,0,2002,2,2,2,2,2,2,0
6,840,4,1,0,1,20.580999,1,0,1,1,1,1,0,2002,2,2,2,2,2,2,0
6,841,3,4,2,1,24.219999,1,1,1,1,1,1,1,2014,2,2,3,3,0,0,1
6,841,4,4,1,1,23.325001,1,1,1,0,1,1,5,2014,2,2,1,1,0,0,1
6,842,2,1,11,5,55.032001,1,1,1,1,1,1,0,2014,0,0,2,2,2,2,0
6,846,2,1,0,1,67.038002,1,0,1,1,1,1,0,2034,1,1,2,2,2,2,0
6,846,3,1,0,1,67.038002,1,0,1,1,1,1,1,2034,1,1,2,2,2,2,1
6,851,3,1,4,1,28.848,1,1,1,1,1,0,0,2103,96,2,4,1,2,2,0
6,851,5,1,4,1,28.087999,1,1,1,1,1,1,0,2103,1,2,1,1,2,2,0
6,852,5,1,4,1,12.465,1,1,1,1,1,1,0,2086,3,3,1,1,0,0,0
6,852,6,1,4,1,13.108,1,1,1,1,1,1,0,2086,3,3,1,1,0,0,0
6,858,3,1,4,5,20.174999,1,1,1,0,1,0,1,2098,1,1,1,1,2,2,1
6,859,4,11,0,5,4.5489998,1,0,1,5,5,5,5,2064,96,1,4,2,0,0,1
6,861,2,1,0,5,4.152,1,0,1,1,1,1,0,2028,2,2,2,2,2,2,0
6,863,3,1,0,5,8.7010002,1,0,5,5,1,5,5,2014,0,0,3,1,2,2,1
6,871,2,1,0,1,2.112,1,0,1,1,1,1,1,2026,1,1,2,2,2,2,1
6,871,3,1,0,1,2.0599999,1,0,1,1,1,1,1,2026,1,1,2,2,2,2,1
6,874,3,1,4,5,18.295,1,1,1,5,1,1,1,2084,2,1,1,1,2,2,1
6,879,4,1,4,5,17.695,1,1,1,1,1,1,0,2002,9,1,1,1,2,2,0
6,883,3,1,4,5,22.107,1,1,1,1,1,1,5,2095,0,0,1,1,2,2,1
6,886,2,4,0,1,16.556,1,0,1,1,1,1,0,2020,1,1,2,3,2,2,0
6,886,3,4,0,1,16.325001,1,0,1,1,1,1,1,2020,1,1,2,3,2,2,1
6,887,3,1,4,5,23.364,1,1,1,1,1,0,0,2089,0,0,1,1,2,2,0
6,891,4,1,4,1,21.367001,1,5,1,0,1,1,1,2072,3,2,1,1,2,2,1
6,891,5,1,4,1,21.229,1,5,1,0,1,1,1,2072,3,2,1,1,2,2,1
6,892,3,4,2,5,7.1479998,1,1,1,1,1,1,0,2002,10,0,6,3,4,0,0
6,893,3,1,4,1,33.771,1,1,1,1,1,0,0,2028,2,2,1,1,0,0,0
6,893,5,1,4,1,32.882,1,1,1,1,1,1,0,2028,2,2,1,1,0,0,0
6,894,3,1,4,1,18.792999,1,1,1,1,1,5,0,2032,1,1,1,1,0,0,0
6,894,4,1,4,1,18.533001,1,1,1,1,1,5,0,2032,1,1,1,1,0,0,5
6,896,4,1,4,1,16.382999,1,1,1,1,1,1,0,2070,2,2,1,1,0,0,0
6,896,5,1,4,1,16.07,1,1,1,1,1,1,0,2070,2,2,1,1,0,0,5
6,898,2,1,0,1,41.578999,1,0,1,1,1,1,0,2062,1,1,2,2,2,2,0
6,898,3,1,0,1,40.714001,1,0,1,1,1,1,1,2062,1,1,2,2,2,2,1
6,907,2,4,0,5,5.6020002,1,0,1,1,1,1,5,2050,96,96,3,3,2,2,1
6,918,3,1,0,5,21.243999,1,0,1,1,1,1,0,2021,1,1,2,2,2,2,0
6,919,5,1,4,5,40.698002,1,1,1,1,1,1,0,2106,1,2,1,1,0,0,0
6,927,2,1,7,5,42.487,1,1,1,1,1,1,0,2016,96,96,4,4,1,1,0
6,934,2,1,0,5,24.149,1,0,1,1,1,1,0,2116,0,0,2,2,0,0,0
6,937,3,1,4,1,45.756001,1,1,1,1,1,1,0,2018,2,2,1,1,0,0,0
6,937,4,1,4,1,44.494999,1,1,1,1,1,1,5,2018,2,2,1,1,0,0,1
6,938,4,1,4,5,21.219999,1,1,1,1,1,0,0,2018,1,1,1,1,0,0,0
6,943,2,1,14,1,22.072001,1,1,1,1,1,5,0,2014,2,2,2,2,2,2,0
6,943,3,1,14,1,21.709,1,1,1,1,1,1,0,2014,2,2,2,2,2,2,0
6,946,3,1,4,1,17.377001,1,1,1,1,1,1,1,2107,1,1,1,1,0,0,1
6,946,4,1,4,1,17.632,1,1,1,1,1,1,0,2107,1,1,1,1,0,0,5
6,955,4,1,4,5,24.243,1,1,1,1,1,1,0,2108,1,1,1,1,2,2,0
6,957,3,1,5,5,1.057,1,1,1,1,1,1,5,2026,1,0,2,2,2,2,1
6,970,3,1,4,1,23.440001,1,1,1,1,1,1,0,2032,1,1,1,1,0,0,0
6,970,4,1,4,1,22.587999,1,1,1,1,1,1,1,2032,1,1,1,1,0,0,1
6,972,3,1,4,1,17.575001,1,1,1,1,1,1,0,2086,1,1,1,1,2,2,0
6,972,4,1,4,1,17.614,1,5,1,1,1,1,0,2086,1,1,1,1,2,2,0
6,979,3,1,4,1,19.465,1,5,5,5,5,5,0,2088,2,2,1,1,2,2,5
6,979,4,1,4,1,19.087,1,5,5,0,5,5,0,2088,2,2,1,1,2,2,5
6,983,2,1,0,1,7.2319999,1,0,1,1,1,5,0,2060,1,3,4,2,2,2,0
6,983,4,1,0,1,7.0580001,1,0,1,1,1,1,0,2060,1,3,2,2,2,2,0
6,987,3,1,4,5,4.6919999,1,5,1,1,1,1,0,2051,96,96,1,1,0,0,0
6,989,2,1,0,5,2.7520001,1,0,1,1,1,1,5,2060,0,0,2,2,2,2,1
6,1002,3,1,4,1,17.302999,1,1,1,1,1,1,0,2028,1,1,1,1,2,2,0
