CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
907,2,907,1,180,1,2485,176
918,3,918,1,181,1,2436,170
919,5,919,2,182,1,1740,170
927,2,824,1,152,1,2432,35
934,2,934,1,183,1,3073,1
937,3,937,2,184,1,3140,2
937,4,937,2,184,1,3140,2
938,4,938,2,185,1,3141,2
943,2,943,1,186,1,1731,3
943,3,943,1,186,1,1731,3
946,3,946,2,187,1,3159,2
946,4,946,2,187,1,3159,2
955,4,955,2,188,1,2752,170
957,3,957,2,189,1,6838,6
970,3,970,2,190,1,2656,171
970,4,970,2,190,1,2656,171
972,3,972,2,191,1,50,171
972,4,972,2,191,1,50,171
979,3,979,2,192,1,548,182
979,4,979,2,192,1,548,182
983,2,983,1,193,1,5299,4
983,4,983,1,193,1,5299,4
987,3,987,2,194,1,5180,4
989,2,989,1,195,1,5299,10
1002,3,1002,2,196,1,355,171
1002,4,1002,2,196,1,355,171
1013,3,1013,2,197,1,517,4
1013,4,1013,2,197,1,517,4
1016,3,1016,2,198,1,2752,172
1018,5,1018,2,199,1,2061,181
1023,3,1023,2,200,1,1221,172
1023,4,1023,2,200,1,1221,172
1033,3,1033,2,201,1,2656,174
1033,4,1033,2,201,1,2656,174
1038,2,1038,1,202,1,1043,8
1038,3,1038,1,202,1,1043,8
1043,3,1043,1,203,1,2485,173
1043,4,1043,1,203,1,2485,173
1047,3,1047,1,204,1,5299,12
1047,4,1047,1,204,1,5299,12
1048,3,1048,2,205,1,1036,2
1057,3,1057,2,206,1,495,30
1059,3,1059,2,207,1,1126,30
1059,4,1059,2,207,1,1126,30
1061,4,1061,2,208,1,2277,8
1061,5,1061,2,208,1,2277,8
1066,4,1066,2,209,1,570,8
1066,5,1066,2,209,1,570,8
1071,3,1071,2,210,1,1397,172
1071,5,1071,2,210,1,1397,172
1076,2,1076,1,211,1,6233,9
1076,3,1076,1,211,1,6233,9
1082,3,1082,2,212,1,2545,30
1082,4,1082,2,212,1,2545,30
1085,2,1085,1,213,1,6187,12
1085,4,1085,1,213,1,6187,12
