GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,1061,4,2277,34,2277,178,2277,8
3,1061,5,2277,35,2277,178,2277,8
3,1066,4,570,35,570,171,570,8
3,1066,5,570,36,570,171,570,8
3,1071,3,1397,34,1397,5,1397,172
3,1071,5,1397,38,1397,5,1397,172
3,1076,2,6233,36,0,0,6233,9
3,1076,3,6233,37,0,0,6233,9
3,1082,3,2545,33,2545,172,2545,30
3,1082,4,2545,34,2545,172,2545,30
3,1085,2,6187,38,6187,1,6187,12
3,1085,4,6187,40,6187,1,6187,12
3,1086,3,6187,36,6187,4,6187,170
3,1093,3,6839,36,6839,34,6839,9
3,1093,4,6839,37,6839,34,6839,9
3,1096,3,53,35,0,0,53,6
3,1098,3,2469,32,2469,172,2469,4
3,1100,5,833,181,833,190,833,176
3,1101,3,3289,3,3289,2,3289,1
3,1107,4,297,48,297,176,297,7
3,1111,4,433,38,433,30,433,175
3,1111,5,433,40,433,30,433,175
3,1112,3,517,32,517,2,517,3
3,1113,3,5292,40,5292,7,5292,32
3,1113,4,5292,43,5292,7,5292,32
3,1117,5,173,38,173,170,173,4
3,1117,6,173,40,173,170,173,4
3,1122,4,1468,33,1468,176,1468,5
3,1122,5,1468,34,1468,176,1468,5
3,1135,4,774,31,774,171,774,2
3,1135,5,774,32,774,171,774,2
3,1136,3,361,176,361,4,361,175
3,1139,4,2117,33,2117,171,2117,6
3,1143,4,2603,32,2603,171,2603,5
3,1148,3,2323,33,2323,177,2323,31
3,1148,4,2323,34,2323,177,2323,31
3,1161,4,53,42,0,0,53,10
3,1164,4,2441,32,2441,173,2441,3
3,1169,2,3308,3,3308,170,3308,2
3,1173,5,607,42,607,183,607,174
3,1177,2,6262,36,0,0,6262,179
3,1178,3,284,30,284,4,284,170
3,1178,4,284,31,284,4,284,170
3,1180,3,2682,32,2682,175,2682,5
3,1180,4,2682,33,2682,175,2682,5
3,1182,3,1142,31,1142,170,1142,3
3,1182,4,1142,32,1142,170,1142,3
3,1184,3,5570,204,5570,33,5570,203
3,1188,4,1013,31,1013,5,1013,170
3,1189,3,68,30,68,3,68,175
3,1191,3,608,186,608,185,608,8
3,1195,3,1775,38,1775,182,1775,6
3,1195,4,1775,39,1775,182,1775,6
3,1200,3,1909,31,1909,2,1909,1
3,1200,4,1909,30,1909,2,1909,1
3,1204,5,1918,33,1918,173,1918,4
3,1212,4,999,31,999,3,999,170
3,1212,5,999,32,999,3,999,170
3,1218,5,1624,35,1624,21,1624,174
3,1222,3,1867,33,1867,170,1867,3
3,1222,4,1867,34,1867,170,1867,3
3,1232,3,2012,34,2012,172,2012,31
3,1233,3,2525,30,2525,3,2525,174
3,1234,3,5576,37,5576,3,5576,172
3,1234,4,5576,41,5576,3,5576,172
3,1239,3,263,38,263,175,263,31
3,1240,2,5306,33,0,0,5306,170
3,1242,2,5621,33,0,0,5621,9
3,1245,3,915,30,915,171,915,4
3,1245,4,915,34,915,171,915,4
3,1247,3,915,31,915,170,915,5
3,1247,4,915,32,915,170,915,5
3,1249,2,5145,34,0,0,5145,2
3,1249,3,5145,35,0,0,5145,2
3,1253,3,2566,38,2566,174,2566,30
3,1253,4,2566,39,2566,174,2566,30
3,1256,3,2486,34,2486,189,2486,31
3,1268,3,840,191,0,0,840,21
3,1268,4,840,44,0,0,840,190
3,1282,3,6735,38,6735,184,6735,3
3,1289,3,5570,44,5570,7,5570,181
3,1293,4,3163,4,3163,3,3163,2
